Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Torque,0-100 km/h (0-62 mph),1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Max RPM,Fuel system,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Seat height,Alternate seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Color options,Starter,Diameter,Dry weight,Power/weight ratio,Oil capacity,Modifications compared to previous model,Engine oil,Brake fluid,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Fork tube size,Oil filter,Coolant,Comments,Front percentage of weight,Rear percentage of weight,Electrical
Yamaha XT 600 Ténéré (reduced effect),1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,136.0 km/h (84.5 mph),8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-18 ,Single disc,Expanding brake,177.0 kg (390.2 pounds),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 R,1986,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",589.0 ccm (35.94 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6500 RPM,151.0 km/h (93.8 mph),8.5:1,100.0 x 75.0 mm (3.9 x 3.0 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,5.10-17 ,Single disc,Expanding brake,146.0 kg (321.9 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 750 R,1986,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",92.0 HP (67.2  kW)) @ 10000 RPM,224.0 km/h (139.2 mph),10.5:1,70.0 x 48.6 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,255.0 kg (562.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva 650 Elefant,1986,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8400 RPM,168.0 km/h (104.4 mph),10.0:1,82.0 x 61.5 mm (3.2 x 2.4 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,208.0 kg (458.6 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 1100 C,1986,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1097.0 ccm (66.94 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 8500 RPM,193.0 km/h (119.9 mph),10.5:1,79.5 x 55.3 mm (3.1 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/90-18 ,140/90-16 ,Dual disc,Single disc,268.0 kg (590.8 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 125 KJ Kanguro,1986,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, four-stroke",13.0 HP (9.5  kW)) @ 10000 RPM,110.0 km/h (68.4 mph),11.7:1,59.0 x 45.0 mm (2.3 x 1.8 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),2.75-21 ,4.00-18 ,Single disc,Expanding brake,119.0 kg (262.4 pounds),7.50 litres (1.98 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GNX 250 E,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7800 RPM,122.0 km/h (75.8 mph),9.0:1,72.0 x 61.2 mm (2.8 x 2.4 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,120/90-16 ,Single disc,Expanding brake,140.0 kg (308.6 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YX 600 Radian,1986,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",52.4 HP (38.3  kW)) @ 9000 RPM,125.0 km/h (77.7 mph),10.0:1,58.5 x 55.7 mm (2.3 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/90-16 ,130/90-16 ,Double disc,Expanding brake (drum brake),197.8 kg (436.0 pounds),12.00 litres (3.17 US gallons),35.6 Nm (3.6 kgf-m or 26.3 ft.lbs) @ 7500 RPM,3.76 seconds,12.53 seconds,6.48 seconds,12000,Carburettor. 4 mikuni BS30´s  30mm Constant Vacuum,TCI    full transistor ignition,wet sump,wet plate,5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,4 into 2 system,"double downtube full cradle, box section steel wingarm",27.0°,128 mm (5.0 inches),36mm shocks,140 mm (5.5 inches),"2 shock absorbers, adjustable for spring preload",98 mm (3.9 inches),"765 mm (30.1 inches) If adjustable, lowest setting.","765 mm (30.1 inches) If adjustable, highest setting.",1095 mm (43.1 inches),2075 mm (81.7 inches),770 mm (30.3 inches),145 mm (5.7 inches),1385 mm (54.5 inches),2.50 litres (0.66 US gallons),"blue, red, black",Electric,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 1100 Evolution,1986,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1101.0 ccm (67.18 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 5500 RPM,164.0 km/h (101.9 mph),9.0:1,85.1 x 96.8 mm (3.4 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,222.0 kg (489.4 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch GS 560 F 4 T,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7400 RPM,130.0 km/h (80.8 mph),9.2:1,94.0 x 81.0 mm (3.7 x 3.2 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-21 ,4.50-18 ,Single disc,Expanding brake,137.0 kg (302.0 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
