Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Exhaust system,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Color options,Starter,Modifications compared to previous model,Top speed,Bore x stroke,Valves per cylinder,Fuel capacity,Max RPM,Rake (fork angle),Trail,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Torque,1/4 mile (0.4 km),Diameter,Dry weight,Power/weight ratio,Fuel consumption,Greenhouse gases,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Front wheel travel,Rear wheel travel,Comments,0-100 km/h (0-62 mph),Front percentage of weight,Rear percentage of weight
Honda CR 500,1987,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",495.0 ccm (30.20 cubic inches),"Single cylinder, two-stroke",63.0 HP (46.0  kW)),6.8:1,Carburettor. Mikuni flat-slide,Membrane & power valve,CDI,Pre-mix,Liquid,5-speed,Chain   (final drive),Wet plate,Expansion chamber,Welded steel tubing,Conventional forks,Pro-link,-21 ,-19 ,Single disc. Hydraulic single-piston,Single disc. Hydraulic single-piston,102.1 kg (225.0 pounds),Red,Kick,Better suspension tuning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva 650 Alazzurra (reduced effect),1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8400 RPM,10.0:1,,Desmodromic valve control,,,Air,5-speed,Chain   (final drive),,,,,,100/90-18 ,110/90-18 ,Dual disc,Single disc,207.0 kg (456.4 pounds),,,,175.0 km/h (108.7 mph),82.0 x 61.5 mm (3.2 x 2.4 inches),2,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 883 Evolution (reduced effect),1987,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 4800 RPM,9.0:1,,Overhead Valves (OHV),,,Air,4-speed,Chain   (final drive),,,,,,MJ 90-19 ,MT 90-16 ,Single disc,Single disc,222.0 kg (489.4 pounds),,,,129.0 km/h (80.2 mph),76.2 x 96.8 mm (3.0 x 3.8 inches),2,8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHS 1340 Electra Glide Sport,1987,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1340.0 ccm (81.77 cubic inches),"Twin, four-stroke",,,Carburettor,,,,Air,5-speed,Belt   (final drive),,,,,,,,,,,,Electric,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 1000 RX,1987,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",125.0 HP (91.2  kW)) @ 9500 RPM,10.2:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),,,,,,120/80-16 ,150/80-16 ,Dual disc,Single disc,267.0 kg (588.6 pounds),,,,,74.0 x 58.0 mm (2.9 x 2.3 inches),4,21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1300 DFI,1987,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1285.0 ccm (78.41 cubic inches),"In-line six, four-stroke",130.0 HP (94.9  kW)) @ 8000 RPM,9.3:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-18 ,130/90-17 ,Dual disc,Single disc,324.0 kg (714.3 pounds),,,,,62.0 x 71.0 mm (2.4 x 2.8 inches),2,27.00 litres (7.13 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZL 1000 (reduced effect),1987,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,10.2:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-18 ,160/80-15 ,Dual disc,Single disc,271.0 kg (597.5 pounds),,,,206.0 km/h (128.0 mph),74.0 x 58.0 mm (2.9 x 2.3 inches),4,18.50 litres (4.89 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETZ 250,1987,Allround," 2.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5200 RPM,10.0:1,,Port control,,,Air,5-speed,Chain   (final drive),,,,,,2.75-18 ,3.50-18 ,Single disc,Expanding brake,154.0 kg (339.5 pounds),,,,130.0 km/h (80.8 mph),69.0 x 65.0 mm (2.7 x 2.6 inches),,17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia ETX 125,1987,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 9000 RPM,15.5:1,,Membrane,,,Liquid,6-speed,Chain   (final drive),,,,,,2.75-21 ,4.60-17 ,Single disc,Expanding brake,113.0 kg (249.1 pounds),,,,130.0 km/h (80.8 mph),54.0 x 54.0 mm (2.1 x 2.1 inches),,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch GS 250 HF,1987,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 9000 RPM,13.0:1,,Rotary valves,,,Liquid,5-speed,Chain   (final drive),,,,,,3.00-21 ,4.50-18 ,Single disc,Expanding brake,107.0 kg (235.9 pounds),,,,110.0 km/h (68.4 mph),72.0 x 61.0 mm (2.8 x 2.4 inches),,9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
