Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Valves per cylinder,Gearbox,Front brakes,Rear brakes,Dry weight,"Weight incl. oil, gas, etc",Power/weight ratio,Seat height,Fuel capacity,Reserve fuel capacity,Starter,Top speed,Max RPM,Compression,Bore x stroke,Fuel system,Cooling system,Transmission type,Clutch,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Diameter,Overall height,Overall length,Overall width,Wheelbase,Fuel control,Exhaust system,Color options,0-100 km/h (0-62 mph),Comments,1/4 mile (0.4 km),Fuel consumption,Greenhouse gases,Ignition,Rake (fork angle),Trail,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Frame type,Battery,Ground clearance,Modifications compared to previous model,Alternate seat height
BMW R 100 GS Paris-Dakar,1994,Super motard," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,74.5 Nm (7.6 kgf-m or 55.0 ft.lbs) @ 3750 RPM,2,5-speed,Single disc,Expanding brake,207.0 kg (456.4 pounds),250.0 kg (551.2 pounds),0.2899 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",35.00 litres (9.25 US gallons),5.00 litres (1.32 US gallons),Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 V Transalp,1994,Unspecified category," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,52.0 Nm (5.3 kgf-m or 38.3 ft.lbs) @ 6000 RPM,3,5-speed,Single disc,Single disc,183.0 kg (403.4 pounds),,0.2732 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",18.00 litres (4.76 US gallons),3.70 litres (0.98 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW F 650,1994,Unspecified category," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6500 RPM,55.9 Nm (5.7 kgf-m or 41.2 ft.lbs) @ 5200 RPM,4,5-speed,Single disc,Single disc,174.0 kg (383.6 pounds),,0.2759 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",17.50 litres (4.62 US gallons),2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 GS,1994,Unspecified category," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",90.0 HP (65.7  kW)) @ 6750 RPM,95.1 Nm (9.7 kgf-m or 70.2 ft.lbs) @ 5250 RPM,4,5-speed,Dual disc,Single disc,222.0 kg (489.4 pounds),,0.4054 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",25.00 litres (6.61 US gallons),4.70 litres (1.24 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 750 Virago,1994,Unspecified category," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 7000 RPM,64.7 Nm (6.6 kgf-m or 47.7 ft.lbs) @ 6000 RPM,2,5-speed,Dual disc,Expanding brake,219.0 kg (482.8 pounds),,0.2511 HP/kg,"715 mm (28.1 inches) If adjustable, lowest setting.",14.50 litres (3.83 US gallons),2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 883 Sportster Hugger,1994,Custom / cruiser," 2.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 5600 RPM,58.8 Nm (6.0 kgf-m or 43.4 ft.lbs) @ 4400 RPM,2,5-speed,Single disc,Single disc,220.0 kg (485.0 pounds),,0.1909 HP/kg,"660 mm (26.0 inches) If adjustable, lowest setting.",8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Heritage Softail Spesial,1994,Unspecified category," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 4900 RPM,86.3 Nm (8.8 kgf-m or 63.7 ft.lbs) @ 2400 RPM,2,5-speed,Single disc,Single disc,322.0 kg (709.9 pounds),,0.1491 HP/kg,"673 mm (26.5 inches) If adjustable, lowest setting.",19.70 litres (5.20 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva 750 Elefant,1994,Unspecified category," 2.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,63.8 Nm (6.5 kgf-m or 47.0 ft.lbs) @ 5500 RPM,2,5-speed,Dual disc,Single disc,188.0 kg (414.5 pounds),,0.3191 HP/kg,"835 mm (32.9 inches) If adjustable, lowest setting.",24.00 litres (6.34 US gallons),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 GS,1994,Unspecified category," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,74.5 Nm (7.6 kgf-m or 55.0 ft.lbs) @ 3750 RPM,2,5-speed,Single disc,Expanding brake,199.0 kg (438.7 pounds),,0.3015 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",24.00 litres (6.34 US gallons),4.70 litres (1.24 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 SS C,1994,Unspecified category," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",66.0 HP (48.2  kW)) @ 8500 RPM,70.6 Nm (7.2 kgf-m or 52.1 ft.lbs) @ 6500 RPM,2,5-speed,Dual disc,Single disc,176.0 kg (388.0 pounds),,0.3750 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",17.50 litres (4.62 US gallons),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
