Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Valves per cylinder,Gearbox,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Starter,Cooling system,Top speed,Fuel control,Transmission type,Fuel capacity,Fuel system,Wheelbase,Lubrication system,Front suspension,Rear suspension,Front tire,Rear tire,Comments,Max RPM,Compression,Bore x stroke,Ignition,Clutch,Exhaust system,Rake (fork angle),Diameter,0-100 km/h (0-62 mph),Frame type,Color options,"Weight incl. oil, gas, etc",Overall length,Overall width,Oil capacity,Engine oil,Brake fluid,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Fuel consumption,Greenhouse gases,Ground clearance,Front wheel travel,Rear wheel travel,Overall height,Reserve fuel capacity,Oil filter,Battery,Chain size,Chain links,Sprockets,Engine details,Trail,Modifications compared to previous model,1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Wheels
BMW R 100 GS Paris-Dakar,1995,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",974.0 ccm (59.43 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,74.5 Nm (7.6 kgf-m or 55.0 ft.lbs) @ 3750 RPM,2,5-speed,Single disc,Expanding brake,207.0 kg (456.4 pounds),0.2899 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki EN 500,1995,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,40.2 Nm (4.1 kgf-m or 29.7 ft.lbs) @ 7300 RPM,4,6-speed,Single disc,Single disc,187.0 kg (412.3 pounds),0.2674 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",,Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piaggio Sfera RST 125,1995,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.4 HP (6.8  kW)) @ 7600 RPM,,2,Automatic,Single disc,Expanding brake (drum brake),105.0 kg (231.5 pounds),0.0893 HP/kg,,Electric & kick,Air,90.0 km/h (55.9 mph),Membrane,Belt   (final drive),7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Bandit 400,1995,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",398.0 ccm (24.29 cubic inches),"In-line four, four-stroke",,,,6-speed,,,,,,,Liquid,,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,Carburettor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha VMX 1200 V-Max,1995,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1198.0 ccm (73.10 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,114.7 Nm (11.7 kgf-m or 84.6 ft.lbs) @ 6000 RPM,4,5-speed,Dual disc,Single disc,262.0 kg (577.6 pounds),0.3817 HP/kg,"765 mm (30.1 inches) If adjustable, lowest setting.",Electric,Liquid,,,Shaft drive (cardan)   (final drive),,,1590 mm (62.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Zephyr 750,1995,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",738.0 ccm (45.03 cubic inches),"In-line four, four-stroke",72.0 HP (52.6  kW)) @ 9500 RPM,56.9 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 7300 RPM,2,5-speed,Double disc,Single disc,201.0 kg (443.1 pounds),0.3582 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,Air,,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,Carburettor,,Wet sump,41mm telescopic fork,Dual gas shocks,120/70-17 ,150/70-17 ,"Area code EU,UK,FR,NL,AR,FG,GR,SP,ST:  
frame range ZR750C 050001 - ZR750C 999999  
engine range KZ750EE 150001 - KZ750EE 999999
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RF 900 RS,1995,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",937.0 ccm (57.18 cubic inches),"In-line four, four-stroke",125.0 HP (91.2  kW)) @ 10000 RPM,95.1 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 9000 RPM,4,5-speed,Dual disc,Single disc,203.0 kg (447.5 pounds),0.6158 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",Electric,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 916 Strada,1995,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",916.0 ccm (55.89 cubic inches),"V2, four-stroke",114.0 HP (83.2  kW)) @ 9000 RPM,,4,6-speed,Dual disc,Single disc,195.0 kg (429.9 pounds),0.5846 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki LS 650 Savage,1995,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",31.0 HP (22.6  kW)) @ 5400 RPM,50.0 Nm (5.1 kgf-m or 36.9 ft.lbs) @ 3000 RPM,4,5-speed,Single disc,Expanding brake,160.0 kg (352.7 pounds),0.1938 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",Electric,Air,,,Belt   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi NTX 750,1995,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)),49.0 Nm (5.0 kgf-m or 36.1 ft.lbs),2,5-speed,,,,,,,Air,,,Shaft drive (cardan)   (final drive),,Carburettor. Dell ´Orto,,,,,,,,7050,10.0:1,80.0 x 64.0 mm (3.1 x 2.5 inches),electronic,multiple dry plates,2 in 1,49.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
