Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Valves per cylinder,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Starter,"Weight incl. oil, gas, etc",Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Diameter,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Oil capacity,Color options,Comments,Engine oil,Oil filter,Chain size,Chain links,Sprockets,Clutch,Exhaust system,Ground clearance,Reserve fuel capacity,Modifications compared to previous model,Brake fluid,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Fork tube size,Max RPM,Rake (fork angle),Trail,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Coolant,Tire pressure front,Tire pressure rear,"60-140 km/h (37-87 mph), highest gear"
Honda CMX 250 Rebel,1996,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",234.0 ccm (14.28 cubic inches),"Twin, four-stroke",18.5 HP (13.5  kW)) @ 8250 RPM,19.0 Nm (1.9 kgf-m or 14.0 ft.lbs) @ 5500 RPM,2,Air,5-speed,Chain   (final drive),Single disc,Expanding brake,141.0 kg (310.9 pounds),0.1312 HP/kg,"675 mm (26.6 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 250 Virago,1996,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"V2, four-stroke",21.0 HP (15.3  kW)) @ 8000 RPM,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 6500 RPM,2,Air,5-speed,Chain   (final drive),Single disc,Expanding brake,139.0 kg (306.4 pounds),0.1511 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TDM 850,1996,Allround," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",849.0 ccm (51.81 cubic inches),"Twin, four-stroke",77.0 HP (56.2  kW)) @ 7500 RPM,76.5 Nm (7.8 kgf-m or 56.4 ft.lbs) @ 6000 RPM,5,,5-speed,,Dual disc,Single disc,201.0 kg (443.1 pounds),0.3831 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 R,1996,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",80.0 HP (58.4  kW)) @ 6750 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 5250 RPM,4,,5-speed,,Dual disc,Single disc,,,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,235.0 kg (518.1 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NX 650 Dominator,1996,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",43.5 HP (31.8  kW)) @ 6000 RPM,54.9 Nm (5.6 kgf-m or 40.5 ft.lbs) @ 5000 RPM,4,Air,5-speed,Chain   (final drive),Single disc,Single disc,164.0 kg (361.6 pounds),0.2652 HP/kg,"865 mm (34.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLE 500,1996,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)),,4,,5-speed,Chain   (final drive),Single disc,Single disc,181.0 kg (399.0 pounds),0.2707 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Super Glide,1996,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 5000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,2,Air,5-speed,Belt   (final drive),Single disc,Single disc,271.0 kg (597.5 pounds),0.2103 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trident 750,1996,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",749.0 ccm (45.70 cubic inches),"In-line three, four-stroke",90.0 HP (65.7  kW)) @ 10000 RPM,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 8700 RPM,4,Liquid,6-speed,,Dual disc,Single disc,212.0 kg (467.4 pounds),0.4245 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 1100,1996,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1052.0 ccm (64.19 cubic inches),"In-line four, four-stroke",130.0 HP (94.9  kW)) @ 9500 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 7000 RPM,4,,6-speed,,Dual disc,Single disc,242.0 kg (533.5 pounds),0.5372 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Skorpion Traveller 660,1996,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6250 RPM,56.0 Nm (5.7 kgf-m or 41.3 ft.lbs) @ 5250 RPM,5,,5-speed,Chain   (final drive),Single disc,Single disc,182.0 kg (401.2 pounds),0.2637 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
