Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Valves per cylinder,Cooling system,Gearbox,Transmission type,Front brakes,Dry weight,Power/weight ratio,Seat height,Starter,Rear brakes,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Fuel consumption,Greenhouse gases,Front suspension,Rear suspension,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Overall length,Ground clearance,Wheelbase,Fuel capacity,Color options,Frame type,Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front wheel travel,Reserve fuel capacity,Comments,Exhaust system,Rear wheel travel,Chain links,Sprockets,Lubrication system,Clutch,Overall height,Overall width,Max RPM,Rake (fork angle),Trail,Engine details,Modifications compared to previous model,Alternate seat height,Electrical,Battery,Oil filter,Belt teeth,Belt width,Pulley teeth,Light
Harley-Davidson Softail Springer,1997,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 5000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,155.0 km/h (96.3 mph),2,Air,5-speed,Belt   (final drive),Single disc,284.0 kg (626.1 pounds),0.1937 HP/kg,"663 mm (26.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Zephyr 1100,1997,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1062.0 ccm (64.80 cubic inches),"In-line four, four-stroke",93.0 HP (67.9  kW)) @ 8000 RPM,90.0 Nm (9.2 kgf-m or 66.4 ft.lbs) @ 7000 RPM,215.0 km/h (133.6 mph),2,,5-speed,Chain   (final drive),Dual disc,252.0 kg (555.6 pounds),0.3690 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona T595,1997,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",955.0 ccm (58.27 cubic inches),"In-line three, four-stroke",130.0 HP (94.9  kW)),100.0 Nm (10.2 kgf-m or 73.8 ft.lbs),,4,Liquid,6-speed,Chain   (final drive),Dual disc,198.0 kg (436.5 pounds),0.6566 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Canyon 600,1997,Enduro / offroad," 2.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",601.0 ccm (36.67 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)),44.0 Nm (4.5 kgf-m or 32.5 ft.lbs) @ 4500 RPM,155.0 km/h (96.3 mph),4,Air,5-speed,Chain   (final drive),Single disc,165.0 kg (363.8 pounds),0.2061 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Softail Heritage Classic,1997,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 5000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,155.0 km/h (96.3 mph),2,Air,5-speed,Belt   (final drive),,317.0 kg (698.9 pounds),0.1735 HP/kg,"673 mm (26.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NTV 650,1997,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",53.0 HP (38.7  kW)),52.0 Nm (5.3 kgf-m or 38.4 ft.lbs),180.0 km/h (111.8 mph),3,Liquid,5-speed,Shaft drive (cardan)   (final drive),Single disc,187.0 kg (412.3 pounds),0.2834 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda SLR 650,1997,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)),55.0 Nm (5.6 kgf-m or 40.6 ft.lbs),,4,Air,5-speed,Chain   (final drive),Single disc,161.0 kg (354.9 pounds),0.2733 HP/kg,"845 mm (33.3 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 650,1997,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)) @ 7000 RPM,47.0 Nm (4.8 kgf-m or 34.7 ft.lbs) @ 5000 RPM,,,,5-speed,Chain   (final drive),Single disc,168.0 kg (370.4 pounds),0.2500 HP/kg,"870 mm (34.3 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trophy 900,1997,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,83.0 Nm (8.5 kgf-m or 61.2 ft.lbs) @ 6500 RPM,220.0 km/h (136.7 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,220.0 kg (485.0 pounds),0.4455 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 Chopper,1997,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",344.0 ccm (20.99 cubic inches),"Twin, two-stroke",23.0 HP (16.8  kW)) @ 5250 RPM,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,120.0 km/h (74.6 mph),,Air,4-speed,Chain   (final drive),Single disc,149.0 kg (328.5 pounds),0.1544 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
