Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Valves per cylinder,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Alternate seat height,Starter,Max RPM,Fuel consumption,Greenhouse gases,Fuel capacity,Compression,Fuel control,0-100 km/h (0-62 mph),Bore x stroke,Fuel system,Front tire,Rear tire,Wheelbase,Reserve fuel capacity,Color options,Comments,Ignition,Driveline,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Wheels,"Weight incl. oil, gas, etc",Oil filter,Battery,Spark plugs,Belt teeth,Belt width,Lubrication system,Clutch,Frame type,1/4 mile (0.4 km),Ground clearance,Exhaust system,Oil capacity,Engine oil,Brake fluid,Coolant,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Overall length,Electrical,Overall height,Overall width,Carrying capacity
Suzuki DR 650 SE,1998,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)) @ 6400 RPM,53.0 Nm (5.4 kgf-m or 39.1 ft.lbs) @ 4600 RPM,150.0 km/h (93.2 mph),4,Air,5-speed,Chain   (final drive),Single disc,Single disc,147.0 kg (324.1 pounds),0.2857 HP/kg,"845 mm (33.3 inches) If adjustable, lowest setting.","885 mm (34.8 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 600 Monster,1998,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",51.0 HP (37.2  kW)) @ 8000 RPM,51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 6000 RPM,180.0 km/h (111.8 mph),2,Air,5-speed,Chain   (final drive),Single disc,Single disc,174.0 kg (383.6 pounds),0.2931 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VZ 800 Marauder,1998,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,64.0 Nm (6.5 kgf-m or 47.2 ft.lbs) @ 5000 RPM,160.0 km/h (99.4 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,,207.0 kg (456.4 pounds),0.2415 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Planet 125,1998,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 9500 RPM,17.0 Nm (1.7 kgf-m or 12.5 ft.lbs) @ 9200 RPM,,,Liquid,6-speed,Chain   (final drive),Single disc,Single disc,125.0 kg (275.6 pounds),0.1200 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T595 Daytona,1998,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",955.0 ccm (58.27 cubic inches),"In-line three, four-stroke",130.0 HP (94.9  kW)),100.0 Nm (10.2 kgf-m or 73.8 ft.lbs),260.0 km/h (161.6 mph),3,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,198.0 kg (436.5 pounds),0.6566 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 1000 F,1998,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",135.0 HP (98.5  kW)) @ 9500 RPM,104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 8500 RPM,255.0 km/h (158.4 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,235.0 kg (518.1 pounds),0.5745 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 800 A,1998,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 7000 RPM,64.0 Nm (6.5 kgf-m or 47.2 ft.lbs) @ 3300 RPM,175.0 km/h (108.7 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,Single disc,225.0 kg (496.0 pounds),0.2444 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 1100 XX Super Blackbird,1998,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1137.0 ccm (69.38 cubic inches),"In-line four, four-stroke",164.0 HP (119.7  kW)) @ 10000 RPM,124.0 Nm (12.6 kgf-m or 91.5 ft.lbs) @ 7250 RPM,295.0 km/h (183.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,223.0 kg (491.6 pounds),0.7354 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomos ATX 50,1998,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",3.0 HP (2.2  kW)) @ 5500 RPM,36.7 Nm (3.7 kgf-m or 27.1 ft.lbs) @ 5500 RPM,50.0 km/h (31.1 mph),2,Air,5-speed,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,,,,,8000,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Mastiff,1998,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)),57.0 Nm (5.8 kgf-m or 42.0 ft.lbs),165.0 km/h (102.5 mph),5,Liquid,5-speed,Chain   (final drive),Single disc,Single disc,160.0 kg (352.7 pounds),0.3125 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
