Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Cooling system,Gearbox,Transmission type,Front brakes,Dry weight,Power/weight ratio,Seat height,Wheelbase,Fuel capacity,Color options,Rear brakes,Starter,Alternate seat height,Valves per cylinder,Comments,Ground clearance,Lubrication system,Clutch,Exhaust system,Frame type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Front suspension,Rear suspension,Overall length,Diameter,Max RPM,Front tire,Rear tire,Reserve fuel capacity,Modifications compared to previous model,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,"Weight incl. oil, gas, etc",Oil capacity,Factory warranty,Fuel consumption,Greenhouse gases,"60-140 km/h (37-87 mph), highest gear",Driveline,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Belt teeth,Belt width,Engine details,Overall height,Overall width,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight
Honda VT 125 Shadow,2000,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.5 ccm (7.60 cubic inches),"V2, four-stroke",15.0 HP (10.9  kW)) @ 11000 RPM,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 9000 RPM,110.0 km/h (68.4 mph),Liquid,5-speed,Chain   (final drive),Single disc,145.0 kg (319.7 pounds),0.1034 HP/kg,"680 mm (26.8 inches) If adjustable, lowest setting.",1524 mm (60.0 inches),14.50 litres (3.83 US gallons),"Red, black, silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki EN 500 Vulcan,2000,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,45.0 Nm (4.6 kgf-m or 33.2 ft.lbs) @ 7200 RPM,160.0 km/h (99.4 mph),Liquid,6-speed,Chain   (final drive),Single disc,174.0 kg (383.6 pounds),0.2874 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",1595 mm (62.8 inches),15.00 litres (3.96 US gallons),"Red, black",Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell X1 Lightning,2000,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1203.0 ccm (73.41 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)) @ 6200 RPM,116.0 Nm (11.8 kgf-m or 85.6 ft.lbs) @ 5600 RPM,215.0 km/h (133.6 mph),Air,5-speed,,Single disc,200.0 kg (440.9 pounds),0.4750 HP/kg,"749 mm (29.5 inches) If adjustable, lowest setting.",1397 mm (55.0 inches),15.80 litres (4.17 US gallons),"Black, yellow, blue, orange",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 1000 V Varadero,2000,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",94.0 HP (68.6  kW)) @ 8000 RPM,99.0 Nm (10.1 kgf-m or 73.0 ft.lbs) @ 6000 RPM,210.0 km/h (130.5 mph),Liquid,5-speed,,Dual disc,220.0 kg (485.0 pounds),0.4273 HP/kg,"845 mm (33.3 inches) If adjustable, lowest setting.",1560 mm (61.4 inches),25.00 litres (6.61 US gallons),"Black, blue, red",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati ST4,2000,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",916.0 ccm (55.89 cubic inches),"V2, four-stroke",105.0 HP (76.6  kW)) @ 9000 RPM,89.0 Nm (9.1 kgf-m or 65.6 ft.lbs) @ 7500 RPM,245.0 km/h (152.2 mph),Liquid,6-speed,,Dual disc,215.0 kg (474.0 pounds),0.4884 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),21.00 litres (5.55 US gallons),"Red, yellow, blue",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 1100 XX Super Blackbird,2000,Sport touring," 4.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1137.0 ccm (69.38 cubic inches),"In-line four, four-stroke",164.0 HP (119.7  kW)) @ 9500 RPM,124.0 Nm (12.6 kgf-m or 91.5 ft.lbs) @ 7250 RPM,290.0 km/h (180.2 mph),Liquid,6-speed,Chain   (final drive),Dual disc,223.0 kg (491.6 pounds),0.7354 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),24.00 litres (6.34 US gallons),"Red, black, blue",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V11 Sport,2000,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",91.0 HP (66.4  kW)) @ 7800 RPM,94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 6000 RPM,220.0 km/h (136.7 mph),Air,6-speed,,Dual disc,219.0 kg (482.8 pounds),0.4155 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1471 mm (57.9 inches),22.00 litres (5.81 US gallons),"Yellow, silver",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1200 RS,2000,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1171.0 ccm (71.45 cubic inches),"In-line four, four-stroke",130.0 HP (94.9  kW)) @ 8750 RPM,117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 6750 RPM,225.0 km/h (139.8 mph),Liquid,6-speed,,Dual disc,264.0 kg (582.0 pounds),0.4924 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1555 mm (61.2 inches),20.50 litres (5.42 US gallons),"Red, gray, silver/blue for extra charge",Single disc,,"800 mm (31.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXDX Dyna Super Glide Sport,2000,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1450.0 ccm (88.48 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 5500 RPM,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 2900 RPM,170.0 km/h (105.6 mph),Air,5-speed,Belt   (final drive),Dual disc,300.0 kg (661.4 pounds),0.2267 HP/kg,"689 mm (27.1 inches) If adjustable, lowest setting.",1607 mm (63.3 inches),18.60 litres (4.91 US gallons),"Black, gray, blue, violet, red",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 535 DX Virago Deluxe,2000,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",535.0 ccm (32.65 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 7500 RPM,46.0 Nm (4.7 kgf-m or 33.9 ft.lbs) @ 6000 RPM,170.0 km/h (105.6 mph),Air,5-speed,,Single disc,182.0 kg (401.2 pounds),0.2308 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",1445 mm (56.9 inches),17.00 litres (4.49 US gallons),,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
