Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Bore x stroke,Valves per cylinder,Fuel system,Gearbox,Transmission type,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Wheelbase,Fuel capacity,Cooling system,Starter,"Weight incl. oil, gas, etc",Compression,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Frame type,Trail,Front suspension,Rear suspension,Alternate seat height,Overall height,Reserve fuel capacity,Oil capacity,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Overall length,Overall width,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Front percentage of weight,Fuel control,Rake (fork angle),Ground clearance,Color options,Chain size,Max RPM,Exhaust system,Comments,Driveline,Battery,Rear percentage of weight,Engine details,Modifications compared to previous model
Suzuki GSX 750 F Katana,2001,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",92.0 HP (67.2  kW)) @ 10500 RPM,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 9500 RPM,220.0 km/h (136.7 mph),70.0 x 48.7 mm (2.8 x 1.9 inches),4,Carburettor,6-speed,Chain   (final drive),130 mm (5.1 inches),142 mm (5.6 inches),120/70-ZR17 ,150/70-ZR17 ,Dual disc,240 mm (9.4 inches),Single disc,211.0 kg (465.2 pounds),0.4360 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1465 mm (57.7 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna SM 610 S,2001,Super motard," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",577.0 ccm (35.21 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,,,,,,6-speed,Chain   (final drive),,,,,Single disc,,Single disc,139.0 kg (306.4 pounds),0.3597 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona 955i,2001,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",955.0 ccm (58.27 cubic inches),"In-line three, four-stroke",128.0 HP (93.4  kW)) @ 9900 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 7500 RPM,260.0 km/h (161.6 mph),79.0 x 65.0 mm (3.1 x 2.6 inches),4,Injection,6-speed,Chain   (final drive),120 mm (4.7 inches),140 mm (5.5 inches),120/70-ZR17 ,190/50-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,198.0 kg (436.5 pounds),0.6465 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1431 mm (56.3 inches),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZZR 1100,2001,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1052.0 ccm (64.19 cubic inches),"In-line four, four-stroke",146.0 HP (106.6  kW)) @ 10500 RPM,108.0 Nm (11.0 kgf-m or 79.7 ft.lbs) @ 8500 RPM,285.0 km/h (177.1 mph),76.0 x 58.0 mm (3.0 x 2.3 inches),4,Carburettor,6-speed,Chain   (final drive),120 mm (4.7 inches),112 mm (4.4 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,250 mm (9.8 inches),Single disc,235.0 kg (518.1 pounds),0.6213 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",1500 mm (59.1 inches),24.00 litres (6.34 US gallons),Liquid,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Fat Boy Injection,2001,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5300 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 3000 RPM,173.0 km/h (107.5 mph),95.3 x 101.6 mm (3.8 x 4.0 inches),2,Injection,5-speed,Belt   (final drive),129 mm (5.1 inches),103 mm (4.1 inches),,,Single disc,292 mm (11.5 inches),Single disc,,,"647 mm (25.5 inches) If adjustable, lowest setting.",1638 mm (64.5 inches),18.90 litres (4.99 US gallons),Air,Electric,320.0 kg (705.5 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 850 C Classic,2001,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",848.0 ccm (51.74 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 5250 RPM,71.0 Nm (7.2 kgf-m or 52.4 ft.lbs) @ 4750 RPM,160.0 km/h (99.4 mph),87.5 x 70.5 mm (3.4 x 2.8 inches),4,Injection,5-speed,Shaft drive (cardan)   (final drive),144 mm (5.7 inches),100 mm (3.9 inches),100/90-ZR18 ,170/80-ZR15 ,Dual disc,285 mm (11.2 inches),Single disc,,,"740 mm (29.1 inches) If adjustable, lowest setting.",1650 mm (65.0 inches),17.00 litres (4.49 US gallons),Air,Electric,256.0 kg (564.4 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 600,2001,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 11800 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 9500 RPM,255.0 km/h (158.4 mph),67.0 x 42.5 mm (2.6 x 1.7 inches),4,Injection,6-speed,Chain   (final drive),125 mm (4.9 inches),130 mm (5.1 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,163.0 kg (359.4 pounds),0.6012 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",1400 mm (55.1 inches),18.00 litres (4.76 US gallons),Liquid,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS 650 A Drag Star Classic,2001,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",40.0 HP (29.2  kW)) @ 6500 RPM,51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 3000 RPM,145.0 km/h (90.1 mph),81.0 x 63.0 mm (3.2 x 2.5 inches),2,Carburettor,5-speed,Shaft drive (cardan)   (final drive),140 mm (5.5 inches),98 mm (3.9 inches),130/90-S16 ,170/80-S15 ,Single disc,200 mm (7.9 inches),Expanding brake,230.0 kg (507.1 pounds),0.1739 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",1625 mm (64.0 inches),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCM 604 Trail,2001,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",598.0 ccm (36.49 cubic inches),"Single cylinder, four-stroke",53.0 HP (38.7  kW)) @ 7500 RPM,,,,,,5-speed,,,,,,Single disc,,Single disc,132.0 kg (291.0 pounds),0.4015 HP/kg,"900 mm (35.4 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ SX 125,2001,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)) @ 9000 RPM,11.7 Nm (1.2 kgf-m or 8.6 ft.lbs) @ 8500 RPM,110.0 km/h (68.4 mph),60.0 x 44.0 mm (2.4 x 1.7 inches),4,Carburettor,6-speed,Chain   (final drive),220 mm (8.7 inches),220 mm (8.7 inches),90/90-21 ,120/80-18 ,Single disc,220 mm (8.7 inches),Single disc,,,"830 mm (32.7 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),13.50 litres (3.57 US gallons),,,133.0 kg (293.2 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
