Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Cooling system,Gearbox,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Reserve fuel capacity,Starter,Power,Torque,Top speed,Valves per cylinder,Transmission type,Front suspension,Rear suspension,Power/weight ratio,Seat height,Fuel control,Ground clearance,Ignition,Driveline,"Weight incl. oil, gas, etc",Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Oil filter,Battery,Sprockets,Belt teeth,Belt width,Pulley teeth,Comments,Alternate seat height,Front percentage of weight,Rear percentage of weight,Frame type,Exhaust system,Color options,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Max RPM,Modifications compared to previous model,Chain size,Chain links,Carrying capacity,Engine details,Seat
Aprilia RX 125,2002,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",12.5:1,54.0 x 54.5 mm (2.1 x 2.1 inches),Carburettor,Liquid,6-speed,267 mm (10.5 inches),270 mm (10.6 inches),90/90-21 ,120/80-19 ,Single disc,220 mm (8.7 inches),Single disc,105.0 kg (231.5 pounds),1195 mm (47.0 inches),2165 mm (85.2 inches),850 mm (33.5 inches),1465 mm (57.7 inches),12.00 litres (3.17 US gallons),2.50 litres (0.66 US gallons),Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 S,2002,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",,101.0 x 70.0 mm (4.0 x 2.8 inches),Injection,Oil & air,,110 mm (4.3 inches),130 mm (5.1 inches),120/70-ZR17 ,170/60-ZR17 ,Double disc,,Single disc,229.0 kg (504.9 pounds),,,,,18.00 litres (4.76 US gallons),4.00 litres (1.06 US gallons),Electric,98.0 HP (71.5  kW)) @ 7500 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 5750 RPM,226.0 km/h (140.4 mph),4,Shaft drive (cardan)   (final drive),Telelever,Central suspension strut,0.4279 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 998,2002,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"V2, four-stroke",11.4:1,100.0 x 63.5 mm (3.9 x 2.5 inches),Injection,Liquid,6-speed,127 mm (5.0 inches),130 mm (5.1 inches),120/70-ZR17 ,190/50-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,198.0 kg (436.5 pounds),1080 mm (42.5 inches),2030 mm (79.9 inches),,1410 mm (55.5 inches),17.00 litres (4.49 US gallons),4.00 litres (1.06 US gallons),Electric,123.0 HP (89.8  kW)) @ 9750 RPM,96.9 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 8000 RPM,,4,Chain   (final drive),,,0.6212 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda SL 230,2002,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",223.0 ccm (13.61 cubic inches),"Single cylinder, four-stroke",9.0:1,65.5 x 66.2 mm (2.6 x 2.6 inches),Carburettor,Air,6-speed,,,,,Single disc,,Single disc,106.0 kg (233.7 pounds),1120 mm (44.1 inches),2055 mm (80.9 inches),825 mm (32.5 inches),1340 mm (52.8 inches),10.00 litres (2.64 US gallons),,,20.0 HP (14.6  kW)) @ 7500 RPM,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 6000 RPM,,,,,,0.1887 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",Overhead Cams (OHC),255 mm (10.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 750 DC Shadow Spirit,2002,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"V2, four-stroke",9.0:1,79.0 x 76.0 mm (3.1 x 3.0 inches),Carburettor. Two 36mm diaphragm-type CV,Liquid,5-speed,130 mm (5.1 inches),81 mm (3.2 inches),110/80-19 ,160/80-15 ,Single disc. Two-piston calipers. ,180 mm (7.1 inches),Expanding brake,225.0 kg (496.0 pounds),,,,1646 mm (64.8 inches),16.40 litres (4.33 US gallons),,Electric,43.0 HP (31.4  kW)) @ 5500 RPM,60.5 Nm (6.2 kgf-m or 44.6 ft.lbs) @ 3500 RPM,,3,Chain   (final drive),41mm Telescopic fork.,Dual shocks 5-way spring-preload adjustability,0.1911 HP/kg,"676 mm (26.6 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),,"Solid-state with electronic advance, two spark plugs per cylinder",O-ring-sealed drive chain,248.0 kg (546.7 pounds),2.70 litres (2.85 US quarts),SAE 10W-30,DOT 4,2.00 litres (0.53 US gallons),"NGK DPR7EA-9, NGK DPR7EIX-9",1200  +/- 100  RPM,29 PSI (2 Bar or 200 kPa),29 PSI (2 Bar or 200 kPa),41 mm (1.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XR 650 L,2002,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",8.3:1,100.0 x 82.0 mm (3.9 x 3.2 inches),,Air,5-speed,295 mm (11.6 inches),279 mm (11.0 inches),,,Single disc,,Single disc,147.0 kg (324.1 pounds),,,,1455 mm (57.3 inches),12.70 litres (3.36 US gallons),2.70 litres (0.71 US gallons),,,,,4,Chain   (final drive),,,,"940 mm (37.0 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),330 mm (13.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Volty 250,2002,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",9.0:1,72.0 x 61.2 mm (2.8 x 2.4 inches),Carburettor,Air,5-speed,,,,,Single disc,,Expanding brake,125.0 kg (275.6 pounds),1075 mm (42.3 inches),2005 mm (78.9 inches),770 mm (30.3 inches),1325 mm (52.2 inches),12.00 litres (3.17 US gallons),,,20.0 HP (14.6  kW)) @ 7500 RPM,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 6000 RPM,,4,,,,0.1600 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),160 mm (6.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna WR 250,2002,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.3 ccm (15.21 cubic inches),"Single cylinder, two-stroke",,66.4 x 72.0 mm (2.6 x 2.8 inches),Carburettor,Liquid,5-speed,,,90/90-21 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,103.5 kg (228.2 pounds),,,,1450 mm (57.1 inches),11.20 litres (2.96 US gallons),,Kick,,,,,Chain   (final drive),,,,"890 mm (35.0 inches) If adjustable, lowest setting.",,370 mm (14.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 1100 C2 Shadow Sabre,2002,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1099.0 ccm (67.06 cubic inches),"V2, four-stroke",8.0:1,87.5 x 91.4 mm (3.4 x 3.6 inches),Carburettor,,5-speed,124 mm (4.9 inches),100 mm (3.9 inches),120/90-18 65H ,170/80-15M/C 77H ,Single disc,276 mm (10.9 inches),Single disc,261.0 kg (575.4 pounds),1165 mm (45.9 inches),2495 mm (98.2 inches),920 mm (36.2 inches),1640 mm (64.6 inches),15.00 litres (3.96 US gallons),3.50 litres (0.92 US gallons),,61.7 HP (45.0  kW)) @ 5500 RPM,93.0 Nm (9.5 kgf-m or 68.6 ft.lbs) @ 2500 RPM,,,Shaft drive (cardan)   (final drive),,,0.2362 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",,140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha BT 1100 Bulldog,2002,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1063.0 ccm (64.86 cubic inches),"V2, four-stroke",8.3:1,95.0 x 75.0 mm (3.7 x 3.0 inches),,Air,,130 mm (5.1 inches),113 mm (4.4 inches),120/70-ZR17 ,170/60-ZR17 ,Dual disc,282 mm (11.1 inches),Single disc,229.5 kg (506.0 pounds),1140 mm (44.9 inches),2200 mm (86.6 inches),800 mm (31.5 inches),1530 mm (60.2 inches),,,,65.0 HP (47.4  kW)) @ 5500 RPM,88.2 Nm (9.0 kgf-m or 65.1 ft.lbs) @ 4500 RPM,,,,,,0.2832 HP/kg,"812 mm (32.0 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),168 mm (6.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
