Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Overall width,Fuel capacity,Compression,Valves per cylinder,Fuel system,Fuel control,Cooling system,Front wheel travel,Rear wheel travel,Diameter,Overall height,Wheelbase,Reserve fuel capacity,Ground clearance,Color options,Rake (fork angle),Front suspension,Rear suspension,Comments,Ignition,Lubrication system,Clutch,Frame type,"Weight incl. oil, gas, etc",Starter,Top speed,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Alternate seat height,Trail,Belt teeth,Belt width,Pulley teeth,Max RPM,Engine details,0-100 km/h (0-62 mph),1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Driveline,Fuel consumption,Greenhouse gases,Exhaust system,Wheels,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Chain size,Chain links
Honda CB 500,2003,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",57.0 HP (41.6  kW)) @ 9500 RPM,46.0 Nm (4.7 kgf-m or 33.9 ft.lbs) @ 8000 RPM,73.0 x 59.6 mm (2.9 x 2.3 inches),6-speed,Chain   (final drive),110/80-17 ,130/80-17 ,Single disc,Single disc,173.0 kg (381.4 pounds),0.3295 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",2090 mm (82.3 inches),720 mm (28.3 inches),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 620 Standard i.e.,2003,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",618.0 ccm (37.71 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 9500 RPM,53.3 Nm (5.4 kgf-m or 39.3 ft.lbs) @ 6750 RPM,80.0 x 61.5 mm (3.1 x 2.4 inches),5-speed,Chain   (final drive),120/60-ZR17 ,160/60-ZR17 ,Double disc,Single disc,177.0 kg (390.2 pounds),0.3390 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",2100 mm (82.7 inches),,15.00 litres (3.96 US gallons),10.5:1,2,Injection,Desmodromic valve control,Air,130 mm (5.1 inches),148 mm (5.8 inches),245 mm (9.6 inches),795 mm (31.3 inches),1440 mm (56.7 inches),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki SV 1000,2003,Naked bike," 4.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",120.0 HP (87.6  kW)) @ 9000 RPM,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 7200 RPM,90.8 x 66.0 mm (3.6 x 2.6 inches),6-speed,Chain   (final drive),120/70-17 ,180/55-17 ,Double disc,Single disc,185.0 kg (407.9 pounds),0.6486 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",2130 mm (83.9 inches),790 mm (31.1 inches),17.00 litres (4.49 US gallons),11.3:1,4,Injection,Double Overhead Cams/Twin Cam (DOHC),,,,,,1435 mm (56.5 inches),,140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLTRI Road Glide,2003,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1450.0 ccm (88.48 cubic inches),"V2, four-stroke",,117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 3500 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),,Belt   (final drive),,,,,332.0 kg (731.9 pounds),,"683 mm (26.9 inches) If adjustable, lowest setting.",2380 mm (93.7 inches),,18.90 litres (4.99 US gallons),8.9:1,,Injection,,Air,,,,,1613 mm (63.5 inches),,130 mm (5.1 inches),"2-tone sterling silver & vivid black, vivid black, gunmetal pearl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 600 F,2003,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",110.0 HP (80.3  kW)) @ 12500 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 10000 RPM,67.0 x 42.5 mm (2.6 x 1.7 inches),6-speed,Chain   (final drive),120/70-17 ,80/55-17 ,Double disc,Single disc,170.0 kg (374.8 pounds),0.6471 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",2065 mm (81.3 inches),685 mm (27.0 inches),18.00 litres (4.76 US gallons),,,Carburettor,,Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 E,2003,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",42.4 HP (30.9  kW)) @ 6250 RPM,48.0 Nm (4.9 kgf-m or 35.4 ft.lbs) @ 5250 RPM,,,,,,,,156.0 kg (343.9 pounds),0.2718 HP/kg,"855 mm (33.7 inches) If adjustable, lowest setting.",,,15.00 litres (3.96 US gallons),,,,,,,,,,1440 mm (56.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siamoto Enduro 125,2003,Enduro / offroad," 2.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",13.0 HP (9.5  kW)) @ 8000 RPM,,,,,,,,,120.0 kg (264.6 pounds),0.1083 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,,10.00 litres (2.64 US gallons),,,,,,,,,,1460 mm (57.5 inches),,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung Comet 250,2003,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"V2, four-stroke",,,,,,,,,,155.0 kg (341.7 pounds),,,,,17.00 litres (4.49 US gallons),,,,,,,,,,1445 mm (56.9 inches),,,"Red, Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 450 SX Racing,2003,Cross / motocross," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.4 ccm (27.42 cubic inches),"Single cylinder, four-stroke",,,95.0 x 63.4 mm (3.7 x 2.5 inches),4-speed,Chain   (final drive),80/100-21 ,110/90-19 ,Single disc,Single disc,104.1 kg (229.5 pounds),,"925 mm (36.4 inches) If adjustable, lowest setting.",,,7.00 litres (1.85 US gallons),,,Carburettor,,Liquid,300 mm (11.8 inches),335 mm (13.2 inches),220 mm (8.7 inches),,1481 mm (58.3 inches),,380 mm (15.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-7R,2003,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",121.0 HP (88.3  kW)) @ 11800 RPM,78.6 Nm (8.0 kgf-m or 58.0 ft.lbs) @ 9300 RPM,,,,,,,,203.0 kg (447.5 pounds),0.5961 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,18.00 litres (4.76 US gallons),,,,Double Overhead Cams/Twin Cam (DOHC),,,,,,1435 mm (56.5 inches),,,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
