Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Ignition,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Lubrication system,Clutch,Frame type,Compression,Valves per cylinder,Fuel system,Fuel control,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Seat height,Ground clearance,Color options,Comments,Top speed,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Exhaust system,Reserve fuel capacity,Driveline,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Max RPM,Alternate seat height,Modifications compared to previous model,0-100 km/h (0-62 mph),Belt teeth,Belt width,Engine details,Front percentage of weight,Rear percentage of weight,Emission details,Pulley teeth,Wheels
Linhai 90 PY,2005,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",86.0 ccm (5.25 cubic inches),"Single cylinder, four-stroke",5.1 HP (3.7  kW)),5.5 Nm (0.6 kgf-m or 4.1 ft.lbs),47.0 x 50.0 mm (1.9 x 2.0 inches),C.D.I.,Air,4-speed,Chain   (final drive),Telescopic fork,Monoshock swing arm,Expanding brake (drum brake),Expanding brake (drum brake),61.0 kg (134.5 pounds),0.0834 HP/kg,880 mm (34.6 inches),1540 mm (60.6 inches),640 mm (25.2 inches),1055 mm (41.5 inches),4.90 litres (1.29 US gallons),Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lem LX 2,2005,"Minibike, cross"," 2.8  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,39.0 x 41.7 mm (1.5 x 1.6 inches),,Air,Automatic,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),32.2 kg (71.0 pounds),,,,,,,,Premix,Auto centrifugal wet clutch,Steel tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TE 450,2005,Enduro / offroad," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,,97.0 x 60.8 mm (3.8 x 2.4 inches),Digital,Liquid,6-speed,Chain   (final drive),Upside-down telescopic hydraulic adjustable fork,Progressive ´soft damp´ with hydraulic adjustable single shock absorber,Single disc,Single disc,,,1290 mm (50.8 inches),2215 mm (87.2 inches),820 mm (32.3 inches),1460 mm (57.5 inches),7.70 litres (2.03 US gallons),Electric,Dry sump with two oil pump rotor and cartridge filter,"Wet, multiplate type, hydraulic",Single tube cradle with rear frame in light alloy,12.5:1,4,Carburettor.  Mikuni TMR 41,Double Overhead Cams/Twin Cam (DOHC),300 mm (11.8 inches),320 mm (12.6 inches),90/90-21 ,140/80-18 ,220 mm (8.7 inches),118.0 kg (260.1 pounds),"975 mm (38.4 inches) If adjustable, lowest setting.",340 mm (13.4 inches),Yellow/blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki 250 SB,2005,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"In-line four, four-stroke",28.2 HP (20.6  kW)),25.0 Nm (2.5 kgf-m or 18.4 ft.lbs),,,,6-speed,,,,,,119.0 kg (262.4 pounds),0.2366 HP/kg,,,,1435 mm (56.5 inches),7.50 litres (1.98 US gallons),,,,Semi-double cradle,,,Carburettor,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,Model for the Japanese marked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung KR 110,2005,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",110.0 ccm (6.71 cubic inches),"Single cylinder, four-stroke",,,,,Air,,,,,Single disc,Expanding brake (drum brake),100.0 kg (220.5 pounds),,1060 mm (41.7 inches),1890 mm (74.4 inches),685 mm (27.0 inches),1210 mm (47.6 inches),5.00 litres (1.32 US gallons),Electric & kick,,,,,3,,,,,70/100-16 40P ,80/100-16 45P ,,,,105 mm (4.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veli ZQ 90,2005,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,86.0 ccm (5.25 cubic inches),"Single cylinder, two-stroke",5.1 HP (3.7  kW)),,,,Air,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),82.0 kg (180.8 pounds),0.0621 HP/kg,1010 mm (39.8 inches),1800 mm (70.9 inches),750 mm (29.5 inches),1170 mm (46.1 inches),,Electric & kick,,,,,,,,,,,,,,,,Black,Model also known as Veli Motor ZQ90.,80.0 km/h (49.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW F 650 CS,2005,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",49.6 HP (36.2  kW)) @ 6500 RPM,62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 5500 RPM,100.0 x 83.0 mm (3.9 x 3.3 inches),,Liquid,5-speed,Belt   (final drive),"Telescopic fork, stanchion diameter 41 mm","Die-cast aluminium single-sided swinging arm with rear wheel axle and eccentric adjustment, central spring strut action via lever system",Double disc,Single disc,169.6 kg (373.9 pounds),0.2925 HP/kg,1158 mm (45.6 inches),2142 mm (84.3 inches),915 mm (36.0 inches),1493 mm (58.8 inches),15.00 litres (3.96 US gallons),Electric,Dry sump,"Multiple-disc clutch in oil-bath, mechanically operated","Bridging frame, steel section, with integrated oil tank and bolted-on rear frame",11.5:1,4,"Injection.  Electronic intake pipe injection / BMW engine management, dual ignition",Double Overhead Cams/Twin Cam (DOHC),35 mm (1.4 inches),135 mm (5.3 inches),110/70-ZR17 ,170/60-ZR17 ,240 mm (9.4 inches),187.0 kg (412.3 pounds),"780 mm (30.7 inches) If adjustable, lowest setting.",,,ABS brakes.,178.0 km/h (110.6 mph),3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,27.9°,86 mm (3.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Racing EN 530 F e.s.,2005,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",527.7 ccm (32.20 cubic inches),"Single cylinder, four-stroke",,,98.0 x 70.0 mm (3.9 x 2.8 inches),Koukusan CDI electronic w/ variable advance,Liquid,5-speed,Chain   (final drive),Kayba/Paioli/Ohlins,Ohlins,Single disc,Single disc,,,,,,,,Electric & kick,Dry sump with double rotor pump.,Multiple-disk in oil-bath with hydraulic control,Cr-Mo steel. Perimetral oval section.,,4,Carburettor.  Mikuni  TDMR  41 mm.,Double Overhead Cams/Twin Cam (DOHC),,,90/90-21 ,140/80-18 ,245 mm (9.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco CityCorp 125 Supermotard,2005,Super motard," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.7 ccm (7.55 cubic inches),"Single cylinder, four-stroke",,,54.0 x 54.0 mm (2.1 x 2.1 inches),,Air,5-speed,Chain   (final drive),Hydraulic telescopic fork Paioli 33 Ø.,"Olle single shock absorber, adjustable in spring preload.",Single disc,Single disc,107.0 kg (235.9 pounds),,,,,1960 mm (77.2 inches),7.80 litres (2.06 US gallons),,,,Built from Chrome-molybdenum forming a single structure.,,,Carburettor,Single Overhead Cams (SOHC),,,,,240 mm (9.4 inches),,"800 mm (31.5 inches) If adjustable, lowest setting.",280 mm (11.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX 100,2005,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",99.0 ccm (6.04 cubic inches),"Single cylinder, two-stroke",,,52.5 x 45.8 mm (2.1 x 1.8 inches),Digital CDI,Liquid,6-speed,Chain   (final drive),36mm inverted telescopic cartridge fork,UNI-TRAK® single-shock system,Single disc,Single disc,68.0 kg (149.9 pounds),,1105 mm (43.5 inches),,734 mm (28.9 inches),1290 mm (50.8 inches),5.67 litres (1.50 US gallons),,,,High-tensile steel perimeter design with subframe member,9.6:1,,Carburettor.  Keihin PWK28,,274 mm (10.8 inches),274 mm (10.8 inches),70/90-19 ,90/90-16 ,,,"871 mm (34.3 inches) If adjustable, lowest setting.",381 mm (15.0 inches),Kawasaki Lime Green,,,,,27.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
