Model,Year,Category,Rating,Displacement,Engine type,Torque,Fuel system,Cooling system,Gearbox,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Overall height,Overall length,Overall width,Power,Top speed,Compression,Valves per cylinder,Fuel control,Transmission type,Frame type,Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Starter,Comments,Bore x stroke,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Rake (fork angle),"Weight incl. oil, gas, etc",Color options,Ignition,Trail,Front suspension,Rear suspension,Lubrication system,Diameter,Reserve fuel capacity,Modifications compared to previous model,Front wheel travel,Rear wheel travel,Engine details,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Sprockets,Belt teeth,Fork tube size,0-100 km/h (0-62 mph),Front percentage of weight,Rear percentage of weight,Coolant,Idle speed,Chain size,Chain links,Tire pressure front,Tire pressure rear,1/4 mile (0.4 km),Max RPM,Alternate seat height,Electrical,Belt width,Pulley teeth,Driveline,Wheels
Kymco Spike,2007,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",120.4 ccm (7.35 cubic inches),"Single cylinder, four-stroke",9.5 Nm (1.0 kgf-m or 7.0 ft.lbs) @ 6500 RPM,Carburettor,Air,4-speed,2.50-17 ,2.75-17 ,Single disc,Expanding brake (drum brake),120.0 kg (264.6 pounds),1140 mm (44.9 inches),2005 mm (78.9 inches),730 mm (28.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF Moto 250 Freedom Scooter,2007,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",244.0 ccm (14.89 cubic inches),"Single cylinder, four-stroke",,Carburettor,Liquid,Automatic,,,Single disc. Hand control,Expanding brake (drum brake). Foot control,162.0 kg (357.1 pounds),,2265 mm (89.2 inches),,14.3 HP (10.5  kW)) @ 7000 RPM,95.0 km/h (59.0 mph),10.0:1,2,Overhead Cams (OHC),Belt   (final drive),Steel,0.0885 HP/kg,"686 mm (27.0 inches) If adjustable, lowest setting.",145 mm (5.7 inches),1625 mm (64.0 inches),12.11 litres (3.20 US gallons),Electric,Also called CF250T-E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XL1200L Sportster Low,2007,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1199.6 ccm (73.20 cubic inches),"V2, four-stroke",107.3 Nm (10.9 kgf-m or 79.1 ft.lbs) @ 4000 RPM,Injection,Air,5-speed,100/90-H19 ,150/80-B16 ,Single disc. Dual-piston,Single disc. Single-piston,252.7 kg (557.0 pounds),,2263 mm (89.1 inches),,,,9.7:1,,,Belt   (final drive),,,"711 mm (28.0 inches) If adjustable, lowest setting.",112 mm (4.4 inches),1516 mm (59.7 inches),17.03 litres (4.50 US gallons),Electric,Evolution engine.,88.9 x 96.8 mm (3.5 x 3.8 inches),Multi-plate with diaphragm spring in oil bath,4.11 litres/100 km (24.3 km/l or 57.23 mpg),95.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Chrome, staggered shorty duals",29.6°,263.5 kg (581.0 pounds),"Vivid black, black cherry pearl, deep cobalt pearl, yellow pearl, white gold pearl (new), two-tone suede blue pearl and vivid black (new), two-tone olive pearl and vivid black (new), two-tone white gold pearl and vivid black (new)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGO PMX 90,2007,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",82.0 ccm (5.00 cubic inches),"Single cylinder, two-stroke",7.9 Nm (0.8 kgf-m or 5.8 ft.lbs) @ 6500 RPM,,Air,Automatic,120/90-10 ,130/90-10 ,Single disc. Hydraulic Disk,Expanding brake (drum brake),,,,,7.2 HP (5.3  kW)) @ 7000 RPM,,6.5:1,,,,Tubular frame,,,,,5.10 litres (1.35 US gallons),,,50.0 x 42.0 mm (2.0 x 1.7 inches),"Dry style, centrifugal type",,,,,,"Blue, Black, Silver",CDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Eliminator 125,2007,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,Carburettor.  Mikuni BS28,Air,5-speed,90/90-17 ,130/90-15 ,Single disc,Expanding brake (drum brake),132.0 kg (291.0 pounds),,2149 mm (84.6 inches),780 mm (30.7 inches),,,9.6:1,,,Chain   (final drive),"Double cradle, high-tensile steel",,"681 mm (26.8 inches) If adjustable, lowest setting.",,1471 mm (57.9 inches),12.86 litres (3.40 US gallons),,,55.0 x 52.4 mm (2.2 x 2.1 inches),,,,,34.0°,,Galaxy Silver,Electric CDI,119 mm (4.7 inches),33mm hydraulic telescopic fork / 5.5 in.,Twin shocks with five-way adjustable preload / 3.1 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR-Z 125,2007,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,Carburettor.  Mikuni VM20SS,Air,5-speed,70/70-17 ,90/90-14 ,Single disc,Single disc,79.0 kg (174.2 pounds),,1835 mm (72.2 inches),,,,9.5:1,,Single Overhead Cams (SOHC),Chain   (final drive),,,"775 mm (30.5 inches) If adjustable, lowest setting.",260 mm (10.2 inches),,6.60 litres (1.74 US gallons),,,57.0 x 48.8 mm (2.2 x 1.9 inches),,,,,,,"Yellow, Black",,,"Telescopic, oil-damped","Link-type, oil-damped",Wet sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R1200S,2007,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, four-stroke",112.0 Nm (11.4 kgf-m or 82.6 ft.lbs) @ 6800 RPM,Injection,Oil & air,6-speed,120/70-ZR17 ,180/55-ZR17 ,Single disc,Single disc,190.0 kg (418.9 pounds),,2151 mm (84.7 inches),,122.0 HP (89.1  kW)) @ 8250 RPM,,,,,Shaft drive (cardan)   (final drive),,0.6421 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",,1487 mm (58.5 inches),17.00 litres (4.49 US gallons),Electric,,101.0 x 73.0 mm (4.0 x 2.9 inches),"Hydraulic, dry, single-disk ",5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,Telelever ,EVO Paralever ,,265 mm (10.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UM DTF-150,2007,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",,,Air,5-speed,70/100-19 ,90/100-16 ,Single disc,Single disc,77.6 kg (171.0 pounds),,1880 mm (74.0 inches),864 mm (34.0 inches),,,9.2:1,,,Chain   (final drive),,,"787 mm (31.0 inches) If adjustable, lowest setting.",,1168 mm (46.0 inches),5.60 litres (1.48 US gallons),Electric & kick,UM is an abbreviation of United Motors.,62.0 x 49.5 mm (2.4 x 1.9 inches),Manual clutch,,,,,,"Blue, Red",,,Telescopic fork,Swing arm with single shock,,190 mm (7.5 inches),1.09 litres (0.29 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TE510,2007,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",501.0 ccm (30.57 cubic inches),"Single cylinder, four-stroke",,Carburettor.  41mm Keihin FCR,Liquid,6-speed,,,Single disc,Single disc,113.8 kg (250.8 pounds),,,,,,,4,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,Electric & kick,Street legal. ,97.0 x 67.8 mm (3.8 x 2.7 inches),Wet multiplate,,,,,,Red/white,,,Marzoochi,Sachs,,,,The Brembo rear brake pump was substituted with a brand new one that includes an integrated tank. The automatic decompression system was revised to better the electric starter as well as the kick starter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TTR250,2007,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,,6-speed,3.00-21 ,4.6-18 ,Single disc. Hydraulic,Single disc. Hydraulic,120.0 kg (264.6 pounds),1255 mm (49.4 inches),2195 mm (86.4 inches),835 mm (32.9 inches),,,10.2:1,,Double Overhead Cams/Twin Cam (DOHC),,Semi double cradle,,"910 mm (35.8 inches) If adjustable, lowest setting.",300 mm (11.8 inches),1410 mm (55.5 inches),9.50 litres (2.51 US gallons),Electric & kick,,73.0 x 59.6 mm (2.9 x 2.3 inches),,,,,,,,CDI,,Telescopic fork,"Swingarm (link, suspension)",Wet sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
