Model,Year,Category,Rating,Displacement,Engine type,Torque,Top speed,Compression,Bore x stroke,Fuel system,Ignition,Lubrication system,Cooling system,Transmission type,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Overall height,Overall length,Overall width,Fuel capacity,Reserve fuel capacity,Color options,Starter,Comments,Power,Fuel control,Gearbox,"Weight incl. oil, gas, etc",Ground clearance,Wheelbase,Clutch,Exhaust system,Valves per cylinder,Modifications compared to previous model,Power/weight ratio,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Emission details,Max RPM,Driveline,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Belt teeth,Belt width,Pulley teeth,Fork tube size,Alternate seat height,Electrical,Coolant,Idle speed,Sprockets,Engine details,Factory warranty,0-100 km/h (0-62 mph),Instruments,Light,Carrying capacity,Chain size,Chain links,Tire pressure front,Tire pressure rear,"60-140 km/h (37-87 mph), highest gear",1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight
Aprilia RX 125,2008,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",12.2 Nm (1.2 kgf-m or 9.0 ft.lbs) @ 8000 RPM,115.0 km/h (71.5 mph),12.5:1,54.0 x 0.0 mm (2.1 x  inches),Carburettor. Dell carburetor  and #146; Garden VHST 28,Electronics to capacitive discharge CDI,Miscelazione separated with volumetric pump and variable capacity,Liquid,Chain   (final drive),Chassis in steel to high resistenziale with double beam to attice and double crib with reggisella decomposable,"Teleidraulica staple to steles turned upside down from 40mm, excursion rotates 260mm",260 mm (10.2 inches),"Oscillating Forcellone in steel, hydraulic monoshock-absorber with piggy-back, excursion rotates 270mm",270 mm (10.6 inches),90/90-21 ,120/90-18 ,Single disc. floating clamp to double quantity pistoncino parallel,220 mm (8.7 inches),Single disc. floating clamp to single pistoncino,116.0 kg (255.7 pounds),"925 mm (36.4 inches) If adjustable, lowest setting.",1415 mm (55.7 inches),2255 mm (88.8 inches),850 mm (33.5 inches),10.00 litres (2.64 US gallons),1.30 litres (0.34 US gallons),Off White,Kick,Essential multifunctional dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Honda Pleasure,2008,Scooter," 2.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",102.0 ccm (6.22 cubic inches),"Single cylinder, four-stroke",7.9 Nm (0.8 kgf-m or 5.8 ft.lbs) @ 5000 RPM,,9.0:1,50.0 x 52.0 mm (2.0 x 2.0 inches),Carburettor,,,Air,,,,,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),130 mm (5.1 inches),Expanding brake (drum brake),,"805 mm (31.7 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),1750 mm (68.9 inches),705 mm (27.8 inches),5.00 litres (1.32 US gallons),,,Electric,,7.0 HP (5.1  kW)) @ 7000 RPM,Overhead Cams (OHC),Automatic,104.0 kg (229.3 pounds),125 mm (4.9 inches),1240 mm (48.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorhispania RYZ SM Urban,2008,Super motard," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, four-stroke",,,,40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor. PHBN 12 HS,,,,,Deltabox,Paioli,,Monoshock,,90/90-16 ,120/80-16 ,Single disc,220 mm (8.7 inches),Single disc,95.0 kg (209.4 pounds),,1370 mm (53.9 inches),1980 mm (78.0 inches),845 mm (33.3 inches),7.80 litres (2.06 US gallons),,,Electric,Minarelli AM 6 engine.,,,6-speed,,,,Multiplate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco Kid 05,2008,Trial,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,,,40.0 x 39.3 mm (1.6 x 1.5 inches),Carburettor. Dellorto SHA 14 - 14L,Progressive electronic ignition and balanced magnetic flywheel,Unleaded gasoline and 2 % oil pre-mix. Nikasil coated cylinder treatment,Air,Chain   (final drive),"Triangulated cross section Chrome-moly, painted flat black",Hydraulic telescopic fork. Travel: 110 mm,,Ollé,,,,Single disc,,Single disc,34.0 kg (75.0 pounds),"510 mm (20.1 inches) If adjustable, lowest setting.",,,,2.30 litres (0.61 US gallons),,,Kick,Polini engine. Intended for children.,,,2-speed,,275 mm (10.8 inches),1020 mm (40.2 inches),Automatic,Steel pipe with aluminium muffler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi GPR 50 Racing,2008,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,11.5:1,39.9 x 40.0 mm (1.6 x 1.6 inches),Carburettor,Electronic CDI,Oil  pump,Liquid,,,40 mm upside-down fork. 110 mm travel,,Monoshock. 110 mm travel,,100/80-17 ,130/70-17 ,Single disc,180 mm (7.1 inches),Single disc,,"845 mm (33.3 inches) If adjustable, lowest setting.",1116 mm (43.9 inches),2222 mm (87.5 inches),720 mm (28.3 inches),13.00 litres (3.43 US gallons),,Various multicolored.,Electric,,,,6-speed,,,1310 mm (51.6 inches),Multi-disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 600 RR HANNspree Ten Kate Replica,2008,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",66.0 Nm (6.7 kgf-m or 48.7 ft.lbs) @ 11250 RPM,,,,Injection,Fully transistorised electronic,,Liquid,,,,,,,120/70-ZR17 ,180/55-ZR17 ,Double disc,,Single disc,,,,2010 mm (79.1 inches),,18.00 litres (4.76 US gallons),3.50 litres (0.92 US gallons),,Electric,,118.1 HP (86.2  kW)) @ 13500 RPM,Double Overhead Cams/Twin Cam (DOHC),5-speed,184.0 kg (405.7 pounds),,,"Mechanical; cable-actuated, Wet, multiplate with coil springs",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco 4.5 4T Supermotard,2008,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,448.6 ccm (27.37 cubic inches),"Single cylinder, four-stroke",,,,94.5 x 64.0 mm (3.7 x 2.5 inches),Injection. Electronic fuel injection/digital engine management: Magneti Marelli,Ducati    energia alternator 180 W,,Liquid,,Built from Chrome-Molybdenum forming a single structure,Ã˜46 mm Paioli/Kayaba telescopic fork. Forward offset wheel axle and brake calliper. Travel 295 mm,,"Progressive system with single Paioli absorber with aluminium structure and fully adjustable (four regulation types), linked to the centre of the chassis and pushed by the swing arm through an articulated rod system: Travel: 295 mm",,,,Single disc. Bremo,,Single disc. Bremo,109.0 kg (240.3 pounds),,,,,8.50 litres (2.25 US gallons),,Black/grey,Electric & kick,,,Single Overhead Cams (SOHC),6-speed,,325 mm (12.8 inches),1485 mm (58.5 inches),"Hydraulic,    multidisc in oil bath",Stainless steel pipe with aluminium silencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generic Mini Trigger X,2008,"Minibike, cross"," 3.2  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",5.0 Nm (0.5 kgf-m or 3.7 ft.lbs) @ 10000 RPM,,,,,,Fresh oil lubrication,,,,,,,,,,,,,53.2 kg (117.3 pounds),,850 mm (33.5 inches),1420 mm (55.9 inches),615 mm (24.2 inches),15.14 litres (4.00 US gallons),,,Kick,,,,,,,1022 mm (40.2 inches),Centrifugal clutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TE 510,2008,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",501.0 ccm (30.57 cubic inches),"Single cylinder, four-stroke",,,,97.0 x 67.8 mm (3.8 x 2.7 inches),Injection,,,Liquid,Chain   (final drive),,Marzoochi,,Sachs,,90/90-21 ,140/80-18 ,Single disc,,Single disc,112.0 kg (246.9 pounds),,,,,,,,Electric & kick,Street legal. ,,Double Overhead Cams/Twin Cam (DOHC),6-speed,,,1495 mm (58.9 inches),Wet multiplate,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta RR 4T 400,2008,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",,,11.0:1,89.0 x 64.0 mm (3.5 x 2.5 inches),Carburettor. Keihin FCR-MX 39,"DC-CDI without trembler with variable ignition timing, Kokusan type.",2 oil pumps,Liquid,,Molybdenum steel with double cradle split above the exhaust port,Hydraulic USD fork with ø45 mm shaft,,Monoshock with progressive compound lever,,90/90-21 ,140/80-18 ,Single disc. double-piston floating caliper,240 mm (9.4 inches),Single disc. single-piston floating caliper,117.5 kg (259.0 pounds),"940 mm (37.0 inches) If adjustable, lowest setting.",1255 mm (49.4 inches),2270 mm (89.4 inches),813 mm (32.0 inches),8.50 litres (2.25 US gallons),1.00 litres (0.26 US gallons),,,,,,6-speed,,320 mm (12.6 inches),1500 mm (59.1 inches),wet multi-disc clutch,,,"Technical Modifications 2008
New design for headlamp support and front light assembly: more compact, with a more modern and aggressive shape. Anti-scratch polycarbonate lens. 
New digital instruments with smaller dimensions. 
New way of attaching the plastics at the rear end: a more practical system which improves accessibility and speeds up maintenance operations. 
Optimized and rationalized frame in the front area with new Domex 420 plates for a better rigidity and a loss of weight. 
New hydraulic adjustment for front forks: greater sense of stability and confidence to the rider. 
New side stand in forged aluminium: lighter, more stable and more robust. 
Drive chain tensioner guide made in one piece. 
New brake pads. The new material gives more incisive and controllable action. 
Seat profile improved for increased confidence and comfort, also enhancing control in the bends and giving greater effectiveness when turning on the power. 
Euro3 homologation 
New colour scheme, more dynamic and aggressive, with fluorescent red and black plastics combined with more flowing graphics with greater impact. 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot Vivacity 50,2008,Scooter," 2.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.1 ccm (3.00 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,,,Air,,,,,,,120/70-12 ,120/70-12 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),90.0 kg (198.4 pounds),,,1910 mm (75.2 inches),680 mm (26.8 inches),8.50 litres (2.25 US gallons),,,Electric & kick,An Sportline and Motorsport version are available.,3.1 HP (2.3  kW)),,,,,,,,,,0.0344 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGB Delivery 151,2008,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,151.1 ccm (9.22 cubic inches),"Single cylinder, four-stroke",,,,,,CDI,,Air,Belt   (final drive),,Inverted Hydraulic Shocks,,Mono Coil Over Shock,,,,Single disc,220 mm (8.7 inches),Expanding brake (drum brake),105.0 kg (231.5 pounds),,1151 mm (45.3 inches),1905 mm (75.0 inches),660 mm (26.0 inches),,,,Electric & kick,Also sold as TGB Express 150. 39.6 gallons (150 L) cargo capacity.,10.1 HP (7.4  kW)) @ 7500 RPM,,Automatic,,,,,,,,0.0962 HP/kg,3.61 litres/100 km (27.7 km/l or 65.16 mpg),83.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot Vogue 50,2008,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.1 ccm (3.00 cubic inches),"Single cylinder, two-stroke",,,,,,,,,,,,,,,,,Expanding brake (drum brake),90 mm (3.5 inches),Expanding brake (drum brake),42.0 kg (92.6 pounds),,920 mm (36.2 inches),1690 mm (66.5 inches),620 mm (24.4 inches),6.30 litres (1.66 US gallons),,,Electric & kick,,2.3 HP (1.7  kW)),,,,,,,Euro 2,,,0.0548 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna SM 510R,2008,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",501.0 ccm (30.57 cubic inches),"Single cylinder, four-stroke",,,,97.0 x 67.8 mm (3.8 x 2.7 inches),Injection,,,Liquid,Chain   (final drive),,Marzoochi,,Sachs,,,,Single disc,240 mm (9.4 inches),Single disc. Bremo,109.0 kg (240.3 pounds),,,2207 mm (86.9 inches),,,,Red/white/black,Electric & kick,,,Double Overhead Cams/Twin Cam (DOHC),6-speed,,,1497 mm (58.9 inches),"Wet, multiplate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Raptor 125,2008,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.6 ccm (7.60 cubic inches),"Single cylinder, two-stroke",14.0 Nm (1.4 kgf-m or 10.3 ft.lbs),120.0 km/h (74.6 mph),7.4:1,56.0 x 50.6 mm (2.2 x 2.0 inches),Carburettor. Dell’Orto´ PHBH 28 BD,CDI,,Liquid,,Aluminium,Upside down telescopic hydraulic fork,120 mm (4.7 inches),Sachs progressive with hydraulic shock absorbers,140 mm (5.5 inches),110/70-ZR17 ,150/60-ZR17 ,Single disc,230 mm (9.1 inches),Single disc,125.0 kg (275.6 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",,1979 mm (77.9 inches),,12.50 litres (3.30 US gallons),,"Red/black, Grey/black",Electric,,11.0 HP (8.0  kW)),,6-speed,,,1374 mm (54.1 inches),"Wet, multiplate type; mechanic control",,,,0.0880 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
