Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Front percentage of weight,Rear percentage of weight,Seat height,Wheelbase,Fuel capacity,Color options,Starter,Comments,Valves per cylinder,Overall height,Overall length,Overall width,Lubrication system,Front wheel travel,Rear wheel travel,Ground clearance,Oil capacity,0-100 km/h (0-62 mph),"Weight incl. oil, gas, etc",Reserve fuel capacity,Max RPM,Alternate seat height,Modifications compared to previous model,Electrical,Driveline,Engine oil,Oil filter,Brake fluid,Coolant,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Fork tube size,Battery,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Wheels,Seat,Factory warranty,Instruments,Engine details
Wakan 100 Roadster,2009,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1640.0 ccm (100.07 cubic inches),"V2, four-stroke",120.0 HP (87.6  kW)) @ 5750 RPM,165.0 Nm (16.8 kgf-m or 121.7 ft.lbs) @ 4250 RPM,248.0 km/h (154.1 mph),10.3:1,101.6 x 101.6 mm (4.0 x 4.0 inches),Carburettor. 1 x 41 mm Keihin FCR flatslide downdraft.,Overhead Valves (OHV),CDI,Air,5-speed,Belt   (final drive),"Multiplate dry, 7 steel/7 with hydraulic drive.",5.80 litres/100 km (17.2 km/l or 40.56 mpg),134.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,2 into 1 into 2 silencers.,TIG-welded chrome-moly steel tubular backbone frame,22.0°,83 mm (3.3 inches),46 mm Ceriani Italy inverted fully adjustable forks.,Extruded aluminium swingarm with ZF Sachs shock.,120/70-ZR17 ,180/55-ZR17 ,Single disc. 6-piston calipers,220 mm (8.7 inches),Single disc. 2-piston calipers,183.0 kg (403.4 pounds),0.6557 HP/kg,52.0,48.0,"790 mm (31.1 inches) If adjustable, lowest setting.",1380 mm (54.3 inches),13.00 litres (3.43 US gallons),"Red, black, white, silver. Also custom paint.",Electric,Upgrade kits. Custom parts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daelim S2 125 FI,2009,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.9 ccm (7.62 cubic inches),"Single cylinder, four-stroke",,,,,,Injection,,,Oil & air,Automatic,Belt   (final drive),,,,,,,,,,120/70-12 ,130/70-12 ,Single disc,200 mm (7.9 inches),Single disc,,,,,,,11.50 litres (3.04 US gallons),"Blue, red, grey",Electric,,4,1340 mm (52.8 inches),2110 mm (83.1 inches),740 mm (29.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBK X-Power,2009,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",2.7 HP (2.0  kW)) @ 6250 RPM,2.9 Nm (0.3 kgf-m or 2.1 ft.lbs) @ 5500 RPM,,,40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor,,C.D.I.,Liquid,6-speed,,,,,,,,,Telescopic fork,Swingarm,100/80-H17 ,130/70-H17 ,Single disc,220 mm (8.7 inches),Single disc,114.2 kg (251.8 pounds),0.0235 HP/kg,,,"790 mm (31.1 inches) If adjustable, lowest setting.",1275 mm (50.2 inches),7.00 litres (1.85 US gallons),"Black, white",Electric,,,,2002 mm (78.8 inches),689 mm (27.1 inches),Separate lubrication,130 mm (5.1 inches),31 mm (1.2 inches),151 mm (5.9 inches),1.30 litres (1.37 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neander Turbo Diesel,2009,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1400.0 ccm (85.43 cubic inches),Diesel,112.0 HP (81.8  kW)) @ 4200 RPM,214.0 Nm (21.8 kgf-m or 157.8 ft.lbs) @ 2600 RPM,,,108.0 x 76.0 mm (4.3 x 3.0 inches),Turbo. Turbo charger with intercooler.,Double Overhead Cams/Twin Cam (DOHC),,Oil & air,6-speed,Belt   (final drive),,,,,,,,Telescopic twin fork,"White Power shocks, adjustable",,,"Single disc. Bremo, 6-piston",,"Single disc. Bremo, 6-piston",,,,,,,,"Black, white",Electric,"4-stroke, twin cylinder engine. Counter rotating crankshafts cancel out vibrations. Particle filter. Neander Motor is a German company.",4,,,,,,,,,4.00 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 505 SX,2009,ATV," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",477.0 ccm (29.11 cubic inches),"Single cylinder, four-stroke",,,,12.5:1,100.0 x 60.8 mm (3.9 x 2.4 inches),Carburettor. Keihin FCR-MX 41,Double Overhead Cams/Twin Cam (DOHC),Kokusan digital,Liquid,5-speed,Chain   (final drive),"Wet multi-disc clutch, operated hydraulically",,,Aluminum SX Racing w / Spark Arrestor,Chromoly,,,"WP fully adjustable, twin A-arms","WP PDS mono-shock, fully adjustable, swingarm",20/6-10 ,18/10-8 ,Single disc,200 mm (7.9 inches),Single disc,165.0 kg (363.8 pounds),,,,"795 mm (31.3 inches) If adjustable, lowest setting.",,10.30 litres (2.72 US gallons),,Electric,,,,,,"Dry sump, pressure lubrication with 2 Eaton pumps",244 mm (9.6 inches),258 mm (10.2 inches),265 mm (10.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda ANF125i Innova,2009,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, four-stroke",,10.1 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 3000 RPM,,9.3:1,52.4 x 57.9 mm (2.1 x 2.3 inches),Injection,Single Overhead Cams (SOHC),Fully transistorised with electronic advance,Air,4-speed,Chain   (final drive),Centrifugal clutch semi-automatic with 4 gears,,,,,,,"26mm telescopic fork, 80.5mm axle travel ","Single damper unit swingarm, 81.6mm axle travel ",70/100-17 ,80/90-17 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,,,,"768 mm (30.2 inches) If adjustable, lowest setting.",1240 mm (48.8 inches),3.70 litres (0.98 US gallons),"White, blue, black, white",Electric & kick,,,1079 mm (42.5 inches),1896 mm (74.6 inches),727 mm (28.6 inches),,,,145 mm (5.7 inches),,,105.5 kg (232.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota Disabike,2009,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1078.0 ccm (65.78 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)) @ 7500 RPM,88.3 Nm (9.0 kgf-m or 65.1 ft.lbs) @ 5500 RPM,,,98.0 x 71.5 mm (3.9 x 2.8 inches),"Injection. Walbro, 45 mm throttle body",Desmodromic valve control,,Oil & air,Automatic,,Automatic,,,Euro 3,CrMo steel trellis with aluminium plates,24.0°,100 mm (3.9 inches),Marzocchi upside-down,Adjustable monoshock,120/70-ZR17 ,180/55-ZR17 ,Double disc. Bremo,220 mm (8.7 inches),Single disc. Bremo,170.0 kg (374.8 pounds),0.5588 HP/kg,,,"830 mm (32.7 inches) If adjustable, lowest setting.",1425 mm (56.1 inches),16.00 litres (4.23 US gallons),,Electric,Intended for riders with reduced mobility. Based on a DB6.,2,,,,,120 mm (4.7 inches),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX125,2009,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",,,,9.1:1,54.0 x 54.5 mm (2.1 x 2.1 inches),Carburettor. Mikuni TMX38x,,Digital CDI,Liquid,6-speed,Chain   (final drive),,,,,High-tensile steel perimeter design with subframe member,27.0°,113 mm (4.4 inches),36mm inverted telescopic cartridge fork with 18-way compression damping / 10.8 in.,UNI-TRAK® single shock system with 4-way compression and 18-way rebound damping plus adjustable spring preload / 10.8 in.,80/100-21 ,100/90-19 ,Single disc. Two-piston calipers,240 mm (9.4 inches),Single disc,,,,,"945 mm (37.2 inches) If adjustable, lowest setting.",1470 mm (57.9 inches),8.20 litres (2.17 US gallons),Lime Green,Kick,,,1265 mm (49.8 inches),2165 mm (85.2 inches),815 mm (32.1 inches),,,,,,,87.0 kg (191.8 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT50X,2009,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",2.8 HP (2.1  kW)) @ 6750 RPM,3.3 Nm (0.3 kgf-m or 2.4 ft.lbs) @ 5250 RPM,,12.0:1,40.3 x 39.0 mm (1.6 x 1.5 inches),,,CDI,Liquid,6-speed,,,,,,,,,Telescopic fork,Hydraulic shock absorber,100/80-17 ,130/70-17 ,Single disc,220 mm (8.7 inches),Single disc,,,,,"870 mm (34.3 inches) If adjustable, lowest setting.",1350 mm (53.1 inches),6.00 litres (1.59 US gallons),,Kick,,,1115 mm (43.9 inches),2000 mm (78.7 inches),850 mm (33.5 inches),Autolube,190 mm (7.5 inches),220 mm (8.7 inches),317 mm (12.5 inches),,,104.0 kg (229.3 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TT-R110E,2009,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",110.0 ccm (6.71 cubic inches),"Single cylinder, four-stroke",,,,9.3:1,51.0 x 54.0 mm (2.0 x 2.1 inches),Carburettor. Mikuni® VM16,Single Overhead Cams (SOHC),CDI,Air,4-speed,Chain   (final drive),"Wet, multiple",,,,,,,"Telescopic fork, coil spring/oil damper",Swingarm Monocross coil spring/gas-oil damper,2.50-14 ,3.00-12 ,Expanding brake (drum brake),110 mm (4.3 inches),Expanding brake (drum brake),,,,,"671 mm (26.4 inches) If adjustable, lowest setting.",1080 mm (42.5 inches),3.78 litres (1.00 US gallons),Blue/white,Electric,,,922 mm (36.3 inches),1565 mm (61.6 inches),681 mm (26.8 inches),,114 mm (4.5 inches),109 mm (4.3 inches),180 mm (7.1 inches),,,71.7 kg (158.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
