Model,Year,Category,Rating,Displacement,Engine type,Power,Fuel system,Fuel control,Cooling system,Gearbox,Transmission type,Driveline,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Electrical,Carrying capacity,Comments,Top speed,Clutch,Fuel consumption,Greenhouse gases,Instruments,Factory warranty,Engine details,Compression,Bore x stroke,Valves per cylinder,Ignition,Lubrication system,Exhaust system,Front wheel travel,Rear wheel travel,Dry weight,Torque,Power/weight ratio,Oil capacity,"Weight incl. oil, gas, etc",Rake (fork angle),Trail,Light,Reserve fuel capacity,Seat,Emission details,Modifications compared to previous model,Front percentage of weight,Max RPM,Alternate seat height,0-100 km/h (0-62 mph),Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Rear percentage of weight,Chain size,Chain links,Sprockets,Coolant,1/4 mile (0.4 km)
Honda Activa,2011,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",109.0 ccm (6.65 cubic inches),"Single cylinder, four-stroke",8.0 HP (5.8  kW)) @ 7500 RPM,Carburettor,Overhead Cams (OHC),Air,Automatic,Chain   (final drive),V-matic,High rigidity underbone type,Telescopic fork,Unit swing with spring loaded hydraulic damper,90/100-10 ,90/100-10 ,Expanding brake (drum brake),130 mm (5.1 inches),Expanding brake (drum brake),Steel rim/wire spoke,"765 mm (30.1 inches) If adjustable, lowest setting.",1147 mm (45.2 inches),1761 mm (69.3 inches),710 mm (28.0 inches),145 mm (5.7 inches),1238 mm (48.7 inches),5.30 litres (1.40 US gallons),"Red, gray, silver, light blue, gold, black",Electric & kick,12 V 5 Ah battery,18 litre underseat storage,Sold in India.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genuine Scooter Buddy 125,2011,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,Carburettor,,Air,Automatic,Belt   (final drive),CVT,,Telescopic fork,Monoshock,3.50-10 ,3.50-10 ,Single disc,,Expanding brake (drum brake),,,,,,,,,"Black, red, yellow, light green, light blue, white",Electric,12 Volt,,,96.6 km/h (60.0 mph),Automatic,2.61 litres/100 km (38.3 km/l or 90.12 mpg),60.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Analogue speedo.,"24 months, unlimited mile, roadside assistance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 570,2011,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",565.5 ccm (34.51 cubic inches),"Single cylinder, four-stroke",,Injection. Keihin EFI,,Liquid,6-speed,,X-Ring 5/8 x 1/4´ chain.,Double cradle perimeter design 25CrMo4. Subframe	of cross-linked polyethylene,WP-USD Ø 48 mm Closed Cartridqe,WP-PDS shock absorber,90/90-21 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,,"985 mm (38.8 inches) If adjustable, lowest setting.",,,,390 mm (15.4 inches),1475 mm (58.1 inches),8.50 litres (2.25 US gallons),Blue/yellow,Electric,12V 7Ah battery,,Swedish brand.,,"Wet multi-disc clutch, operated hydraulically",,,,,OHC with rocker levers,12.2:1,100.0 x 72.0 mm (3.9 x 2.8 inches),4,Kokusan digital,"Pressure circulation, trochoit oil pump",Aluminium,300 mm (11.8 inches),335 mm (13.2 inches),114.5 kg (252.4 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCR Mike Hailwood TT,2011,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1120.0 ccm (68.34 cubic inches),"V2, four-stroke",130.0 HP (94.9  kW)) @ 8700 RPM,Injection. EFI,Double Overhead Cams/Twin Cam (DOHC),Oil & air,6-speed,Chain   (final drive),,NCR titanium frame.,Ohlins FGR 900 pressurized MotoGP fork tuned by NCR. Triple clamps made from AL 7075 with adjustable offset from 28 to 36 mm in 1 mm increments.,Ohlins dual shock tuned by NCR.,120/70-17 ,190/55-17 ,"Single disc. WAVE Braking-NCR, radial Brembo Racing 4 piston monoblock",200 mm (7.9 inches),"Single disc. WAVE Braking-NCR, Brembo Racng 2 piston monoblock",BST-NCR Carbon fiber wheels,,,,,,,,Red/green/white. Historical Mike Hailwood NCR colors with a pearl base. All air brushed (no stickers).,,,,"Engine has titanium connecting rods carved out of billet, high compression forged pistons with single piston ring, custom F1 type crankshaft from billet with longer stroke, NCR CORSE cams, titanium valves, ported heads, lightened gearbox, custom dry-type slipper clutch by APTC-NCR, full racing oil cooler, all fasteners in titanium. BST-NCR Carbon fiber wheels. Limited edition of 12 bike.",,,,,,,Ducati NCR 1120,,,,,,NCR full titanium exhaust.,,,136.0 kg (299.8 pounds),132.9 Nm (13.5 kgf-m or 98.0 ft.lbs) @ 7000 RPM,0.9559 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Grizzly 450,2011,ATV," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",421.0 ccm (25.69 cubic inches),"Single cylinder, four-stroke",,Carburettor. BSR33/1,Single Overhead Cams (SOHC),Liquid,,Shaft drive (cardan)   (final drive),"On-Command® 2WD/4WD/diff-lock. Ultramatic® V-belt with all wheel engine braking, H/L/N/R/P.",,"Independent double wishbone, 5 position preload adjustment, 160 mm stroke","Independent double wishbone, 5 position preload adjustment, 180 mm stroke",25/8-12 ,25/10-12 ,Double disc,,Sealed multidisc,,"840 mm (33.1 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),1993 mm (78.5 inches),1093 mm (43.0 inches),245 mm (9.6 inches),1233 mm (48.5 inches),15.00 litres (3.96 US gallons),,Electric,,Front rack: 40 kg. Rear rack: 80 kg.,,,,,,,,,10.0:1,84.5 x 75.0 mm (3.3 x 3.0 inches),4,,Wet sump,,,,,,,2.60 litres (2.75 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,
Jialing JH250E,2011,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",233.0 ccm (14.22 cubic inches),"Twin, four-stroke",17.4 HP (12.7  kW)),Carburettor,Overhead Cams (OHC),Air,,Chain   (final drive),,,,,3.00-18 ,130/90-19 ,Single disc,,Expanding brake (drum brake),,,1150 mm (45.3 inches),2250 mm (88.6 inches),870 mm (34.3 inches),130 mm (5.1 inches),,10.00 litres (2.64 US gallons),,Electric,,,,110.0 km/h (68.4 mph),,2.40 litres/100 km (41.7 km/l or 98.01 mpg),55.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,9.4:1,,,,,,,,172.0 kg (379.2 pounds),16.5 Nm (1.7 kgf-m or 12.2 ft.lbs),0.1013 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rieju RS3 125  ,2011,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,Carburettor. Keihin CVEK 30,,Air,5-speed,Chain   (final drive),,Triangular double cradle double steel tube,"Inverted fork, 40mm. ","Mono-shock shock absorber, adhustable",100/80-17 ,130/80-17 ,Single disc,220 mm (8.7 inches),Single disc,,"845 mm (33.3 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),1970 mm (77.6 inches),720 mm (28.3 inches),,1330 mm (52.4 inches),12.00 litres (3.17 US gallons),"Red, white",Electric,12 Volt,,Spanish bike.,,,,,,,Minarellei-Yamaha engine,,52.0 x 58.6 mm (2.0 x 2.3 inches),4,CDI,,Exhaust pipe with aluminium silencer ,,,128.0 kg (282.2 pounds),,,1.10 litres (1.16 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Gladius,2011,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",645.0 ccm (39.36 cubic inches),"V2, four-stroke",72.0 HP (52.6  kW)) @ 8400 RPM,Injection,Double Overhead Cams/Twin Cam (DOHC),Oil & air,6-speed,Chain   (final drive),,,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped, spring preload 7-step adjustable",120/70-ZR17 ,160/60-ZR17 ,Double disc,240 mm (9.4 inches),Single disc,,"785 mm (30.9 inches) If adjustable, lowest setting.",,2130 mm (83.9 inches),760 mm (29.9 inches),150 mm (5.9 inches),1445 mm (56.9 inches),14.50 litres (3.83 US gallons),"Black, Blue/White",,,,,,,,,"Analog tachometer, LCD digital speedometer, LCD dual trip-meters and odometer. An LCD digital clock, and LCD digital gear position indicator are also featured. Indicator lights include a two way remaining fuel warning lamp, backed up by an LCD digital reserve trip meter.",12 Month Limited Warranty,,11.5:1,81.0 x 62.6 mm (3.2 x 2.5 inches),,,Wet sump,,125 mm (4.9 inches),130 mm (5.1 inches),,,,,202.0 kg (445.3 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLTRX Road Glide Custom,2011,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1573.3 ccm (96.00 cubic inches),"V2, four-stroke",,Injection. Electronic Sequential Port Fuel Injection,Overhead Valves (OHV),Air,6-speed,Belt   (final drive),"Primary Drive: Chain, 34/46 ratio. Final Drive: Belt, 32/68 ratio",Mild steel; tubular frame; two-piece stamped and welded backbone; cast and forged junctions; twin downtubes; bolt-on rear frame with forged fender supports; MIG welded,"41.3 mm telescopic, triple-circuit damping",Air-adjustable,130/70-B18 ,180/65-B16 ,Double disc. 4-piston fixed caliper,300 mm (11.8 inches),Single disc. 4-piston fixed caliper,"Black, Slotted Disc Cast Aluminum","688 mm (27.1 inches) If adjustable, lowest setting.",,2507 mm (98.7 inches),,130 mm (5.1 inches),1613 mm (63.5 inches),22.70 litres (6.00 US gallons),"Vivid Black, Cool Blue Pearl, 
Sedona Orange, Black Denim",,"Sealed, maintenance-free, 12V, 28-amp/hour, 370 cca battery. Charging: Three-phase, 50-amp system",,,,"Multi-plate, wet",5.29 litres/100 km (18.9 km/l or 44.47 mpg),122.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,"High beam, running lights, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system (optional), 6-speed, low fuel warning, cruise control, ABS (optional)","24 months, unlimited mileage. ","Air-cooled twin Cam 96, optional Twin Cam 103",9.6:1,98.4 x 111.3 mm (3.9 x 4.4 inches),2,,"Pressurized, dry-sump. With oil cooler for Twin Cam 103 engine.",,117 mm (4.6 inches),76 mm (3.0 inches),350.2 kg (772.0 pounds),126.0 Nm (12.8 kgf-m or 92.9 ft.lbs) @ 3500 RPM,,4.00 litres (4.23 US quarts),,26.0°,170 mm (6.7 inches),"55-watt low beam, 60-watt high beam",,,,,,,,,,,,,,,,,,,,,,,
Modenas Karisma 125,2011,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.9 ccm (7.62 cubic inches),"Single cylinder, four-stroke",,Carburettor. Keihin CVK24,Single Overhead Cams (SOHC),Air,,Belt   (final drive),,Steel pipe,Telescopic,"Unit swing type, single shock",,,Single disc,,Expanding brake (drum brake),,,,,,,,7.50 litres (1.98 US gallons),"Lime, red, light blue",Electric & kick,,,Malaysian bike.,,,,,,,,9.2:1,51.5 x 60.0 mm (2.0 x 2.4 inches),,CDI,Compressed  and  Spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
