Model,Year,Category,Rating,Displacement,Engine type,Bore x stroke,Fuel system,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Rake (fork angle),Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Engine details,Power,Torque,Compression,Valves per cylinder,Fuel control,Fuel consumption,Greenhouse gases,Trail,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Factory warranty,Comments,Top speed,Wheels,Power/weight ratio,Electrical,Exhaust system,Carrying capacity,Seat,Instruments,Emission details,Reserve fuel capacity,Light,Oil capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Front percentage of weight,Alternate seat height,Max RPM,1/4 mile (0.4 km),Oil filter,Battery
KTM 150 SX,2012,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",143.6 ccm (8.76 cubic inches),"Single cylinder, two-stroke",56.0 x 58.4 mm (2.2 x 2.3 inches),Carburettor. Keihin PWK 38S AG,"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment, type Kokusan",Mixture oil lubrication 1:40,Liquid,6-speed,Chain   (final drive),Wet mDouble disk clutch / hydraulically operated,14:50,Central tube frame made of chrome molybdenum steel tubing,26.5°,WP Suspension Up Side Down 4860 MXMA CC,300 mm (11.8 inches),WP Suspension 5018 BAVP DCC,330 mm (13.0 inches),80/100-21 ,100/90-19 ,Single disc,220 mm (8.7 inches),Single disc,91.6 kg (201.9 pounds),"992 mm (39.1 inches) If adjustable, lowest setting.",395 mm (15.6 inches),1480 mm (58.3 inches),7.50 litres (1.98 US gallons),Orange/black/white,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF-R1 WGP 50th Anniversary,2012,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",78.0 x 52.2 mm (3.1 x 2.1 inches),Injection. Fuel Injection with YCC-T and YCC-I,TCI: Transistor Controlled Ignition,Wet sump,Liquid,6-speed,Chain   (final drive),Slipper-type back torque-limiting clutch,#530 O-ring chain,Aluminium Deltabox,24.0°,43mm inverted fork,119 mm (4.7 inches),Single shock w/piggyback reservoir,102 mm (4.0 inches),120/70-ZR17 ,190/55-ZR17 ,Double disc,220 mm (8.7 inches),Single disc,,"833 mm (32.8 inches) If adjustable, lowest setting.",,1415 mm (55.7 inches),18.17 litres (4.80 US gallons),Red/black/white,Electric,Titanium intake valves,182.1 HP (132.9  kW)) @ 12500 RPM,115.5 Nm (11.8 kgf-m or 85.2 ft.lbs) @ 10000 RPM,12.7:1,4,Double Overhead Cams/Twin Cam (DOHC),7.13 litres/100 km (14.0 km/l or 32.99 mpg),165.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,102 mm (4.0 inches),205.9 kg (454.0 pounds),1130 mm (44.5 inches),2070 mm (81.5 inches),714 mm (28.1 inches),1 Year (Limited Factory Warranty),6-mode Traction Control System (TCS). Limited edition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mondial MR 250 Destro,2012,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, four-stroke",55.0 x 53.0 mm (2.2 x 2.1 inches),Carburettor,ECU,Oil Pump,Liquid,5-speed,Chain   (final drive),"Wet type, Multi-Plate",,,,Hydraulic Front Fork,,Hydraulic Double Shock Absorber,,90/90-18 ,130/90-15 ,Single disc,,Expanding brake (drum brake),153.0 kg (337.3 pounds),,,1510 mm (59.4 inches),18.50 litres (4.89 US gallons),"Silver, black, red",Kick,,20.1 HP (14.7  kW)) @ 8500 RPM,20.0 Nm (2.0 kgf-m or 14.8 ft.lbs) @ 6500 RPM,9.6:1,,,,,,,1090 mm (42.9 inches),2180 mm (85.8 inches),800 mm (31.5 inches),,,120.0 km/h (74.6 mph),Black rims,0.1315 HP/kg,12V 9Ah battery.,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic Cat 450i GT,2012,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,443.0 ccm (27.03 cubic inches),"Single cylinder, four-stroke",89.0 x 71.2 mm (3.5 x 2.8 inches),Injection. EFI,,,Liquid,Automatic,Belt   (final drive),,On-the-fly 2wd/4wd W/diff Lock,,,Double A-Arm,254 mm (10.0 inches),Double A-Arm,254 mm (10.0 inches),25/8-12 ,25/10-12 ,Single disc. Hydraulic,,Single disc. Hydraulic,313.0 kg (690.0 pounds),,279 mm (11.0 inches),1270 mm (50.0 inches),21.50 litres (5.68 US gallons),"Sunset Orange, Viper Blue Metallic ",Electric,,,,,4,Single Overhead Cams (SOHC),,,,,1219 mm (48.0 inches),2154 mm (84.8 inches),1206 mm (47.5 inches),,Power Steering. Tank Storage.,,,,,Alternator Capacity: 18 amps.,"Front Rack Capacity 100 lbs / 45.4 kg. Rear Rack Capacity 200 lbs / 90.8 kg. Towing Capacity 1,050 lbs / 476.3 kg",,,,,,,,,,,,,,,,,,,,,,,
Kymco MXU 150 RL,2012,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,151.0 ccm (9.21 cubic inches),"Single cylinder, four-stroke",,Carburettor,CDI,,Air,Automatic,Chain   (final drive),,"CVT automatic, reverse",Tubular steel,,Adjustable dampers,,,,21/7-10 ,22/10-10 ,Expanding brake (drum brake),,Single disc,174.0 kg (383.6 pounds),"750 mm (29.5 inches) If adjustable, lowest setting.",,,,Green,Electric & kick,,9.9 HP (7.2  kW)) @ 7500 RPM,,,,Overhead Cams (OHC),,,,,,1775 mm (69.9 inches),950 mm (37.4 inches),2 Year Warranty,,64.4 km/h (40.0 mph),,0.0567 HP/kg,,,Front  and  Rear Carriers. Tow Hitch Capacity 150kg.,,,,,,,,,,,,,,,,,,,,,,,
Generic Code X 150,2012,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, four-stroke",,Carburettor,,Forced feed lubrication,Air,5-speed,Chain   (final drive),,,,,Telescopic fork,,Dual shocks,,100/80-17 ,130/70-17 ,Single disc,,Single disc,116.0 kg (255.7 pounds),,,1330 mm (52.4 inches),16.00 litres (4.23 US gallons),White,Electric,,11.7 HP (8.5  kW)) @ 9000 RPM,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 6000 RPM,,,,,,,135.0 kg (297.6 pounds),1060 mm (41.7 inches),2090 mm (82.3 inches),830 mm (32.7 inches),,,,,0.1006 HP/kg,,,,Dual,Analogue and digital,,,,,,,,,,,,,,,,,,,,,
Motorhispania KN1 125,2012,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",58.6 x 52.0 mm (2.3 x 2.0 inches),Carburettor. CVEK C2T7,,,Liquid,,Chain   (final drive),"Wet, multidisk",,Multitubular,,"Paioli upside down fork, 41 mm",,Ollé mono shock absorber,130 mm (5.1 inches),100/80-17 ,130/70-17 ,Single disc. Galfer Wave Air,220 mm (8.7 inches),Single disc. Galfer Wave Air,120.0 kg (264.6 pounds),"795 mm (31.3 inches) If adjustable, lowest setting.",,1310 mm (51.6 inches),12.50 litres (3.30 US gallons),"Black, red",Electric & kick,Yamha-Minarelli engine,15.0 HP (10.9  kW)),,10.0:1,4,Single Overhead Cams (SOHC),,,,,,1920 mm (75.6 inches),,2 years unlimited mileage,"Motorhispania, also called MH Motorcycles, is a Spanish brand.",,"Black rims, 10 spoke",0.1250 HP/kg,,,,,Analog/digital,Euro III,,,,,,,,,,,,,,,,,,,,
Arctic Cat TRV 1000i GT,2012,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,951.0 ccm (58.03 cubic inches),"V2, four-stroke",92.0 x 71.6 mm (3.6 x 2.8 inches),Injection. EFI,CDI,,Liquid,Automatic,Belt   (final drive),,On-the-fly 2wd/4wd W/diff Lock,,,Double A-Arm,254 mm (10.0 inches),Double A-Arm,254 mm (10.0 inches),25/8-12 ,25/10-12 ,Single disc,,Single disc,355.0 kg (782.6 pounds),,279 mm (11.0 inches),1473 mm (58.0 inches),20.00 litres (5.28 US gallons),Arctic Green Metallic,Electric,1000 H2 EFI Engine,,,,4,Single Overhead Cams (SOHC),,,,,1397 mm (55.0 inches),2565 mm (101.0 inches),1206 mm (47.5 inches),,Power Steering. Windscreen,,Aluminum rims,,Alternator 25.0 amps,,"Front Rack Capacity 100 lbs / 45.4 kg. Rear Rack Capacity 35 lbs / 15.9 kg. Towing Capacity 1,050 lbs / 476.3 kg",2-person seat,Digital/analogue,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R750,2012,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",70.0 x 48.7 mm (2.8 x 1.9 inches),Injection,"Advanced, race-developed transistorized ignition control circuit helps maintain more precise ignitionÂ timing across the range of engine temperature.",Wet sump,Liquid,6-speed,Chain   (final drive),,"RK525ROZ5Y, 116 links chain","Twin-spar, aluminum",23.9°,"Inverted, telescopic, coil spring, oil damped",130 mm (5.1 inches),"Link type, coil spring, oil damped",136 mm (5.4 inches),120/70-ZR17 ,180/55-ZR17 ,"Double disc. Brembo, 4-piston",220 mm (8.7 inches),Single disc. Brembo,,"810 mm (31.9 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1390 mm (54.7 inches),17.00 litres (4.49 US gallons),"Black, Blue/White",Electric,,148.0 HP (108.0  kW)) @ 12000 RPM,86.3 Nm (8.8 kgf-m or 63.7 ft.lbs) @ 11200 RPM,12.5:1,,Double Overhead Cams/Twin Cam (DOHC),,,97 mm (3.8 inches),190.0 kg (418.9 pounds),,2030 mm (79.9 inches),,1 Year Limited Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Silver Wing ABS,2012,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",582.0 ccm (35.51 cubic inches),"Twin, four-stroke",72.0 x 71.5 mm (2.8 x 2.8 inches),"Injection. Programmed Fuel Injection (PGM-FI) with automatic enricher circuit, four-hole injectors",Computer-controlled fully transistorized with electronic advance,Dry sump,Liquid,Automatic,Belt   (final drive),,,,26.8°,41mm hydraulic fork,107 mm (4.2 inches),Swingarm with dual hydraulic shocks with five-position spring-preload adjustability,114 mm (4.5 inches),120/80-14 ,150/70-13 ,Single disc. CBS three-piston caliper,240 mm (9.4 inches),Single disc. CBS twin-piston caliper,,"754 mm (29.7 inches) If adjustable, lowest setting.",,1600 mm (63.0 inches),15.90 litres (4.20 US gallons),Black,Electric,,,,10.2:1,4,Double Overhead Cams/Twin Cam (DOHC),5.11 litres/100 km (19.6 km/l or 46.03 mpg),118.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,103 mm (4.1 inches),249.9 kg (551.0 pounds),,,,One year. Unlimited milage. Transferable.,Model ID: FSC600A,,,,,,,,,Meets current California Air Resources Board (CARB) and EPA standards.,,,,,,,,,,,,,,,,,,,,
