Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Instruments,Comments,Driveline,Carrying capacity,Wheels,Engine details,Fuel consumption,Greenhouse gases,Exhaust system,Rake (fork angle),Trail,"Weight incl. oil, gas, etc",Oil capacity,Light,Top speed,Emission details,Factory warranty,Reserve fuel capacity,Seat,Electrical,0-100 km/h (0-62 mph),Alternate seat height,Max RPM,Modifications compared to previous model,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Fork tube size,Engine oil,Chain size,1/4 mile (0.4 km),Chain links,Sprockets
Keeway Blackster 250i,2014,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",248.9 ccm (15.19 cubic inches),"V2, four-stroke",19.2 HP (14.0  kW)) @ 8500 RPM,18.7 Nm (1.9 kgf-m or 13.8 ft.lbs) @ 5750 RPM,9.4:1,49.0 x 66.0 mm (1.9 x 2.6 inches),2,Injection. EFI,Single Overhead Cams (SOHC),TLI,Pressure splash lubrication,Air,5-speed,Chain   (final drive),"Wet, multiple-plate",Arch bar truck,Telescopic forks,120 mm (4.7 inches),Telescopic coil spring oil damped,70 mm (2.8 inches),110/90-16 ,120/90-16 ,Single disc,220 mm (8.7 inches),Single disc,170.0 kg (374.8 pounds),0.1128 HP/kg,"688 mm (27.1 inches) If adjustable, lowest setting.",1170 mm (46.1 inches),2300 mm (90.6 inches),840 mm (33.1 inches),140 mm (5.5 inches),1530 mm (60.2 inches),13.50 litres (3.57 US gallons),Black,Electric,Analogue,"Keeway is the American and European brand name of Qianjiang, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tauris Freccia 50 4T,2014,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.7 ccm (3.03 cubic inches),"Single cylinder, four-stroke",2.8 HP (2.1  kW)) @ 6500 RPM,,,,,Carburettor,,,,Air,Automatic,Belt   (final drive),,Steel,,,,,120/70-12 ,120/70-12 ,Single disc,,Expanding brake (drum brake),89.0 kg (196.2 pounds),0.0317 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1165 mm (45.9 inches),1925 mm (75.8 inches),675 mm (26.6 inches),,,5.50 litres (1.45 US gallons),"Red, white, black",Electric,,Retro scooter sold in Austria and some other EU countries.,CVT automatic,Top box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym Orbit II 50 TS,2014,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.4 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,,11.8:1,39.0 x 41.5 mm (1.5 x 1.6 inches),,"Carburettor. CV type, 18 mm",Single Overhead Cams (SOHC),,,Air,Automatic,Belt   (final drive),,Pipe under bone,Telescopic Fork,,Unit Swing Arm,,120/70-12 ,130/70-12 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),110.0 kg (242.5 pounds),,,1125 mm (44.3 inches),1905 mm (75.0 inches),690 mm (27.2 inches),,1325 mm (52.2 inches),5.20 litres (1.37 US gallons),Orange,Electric & kick,,Made in Taiwan.,,,"Black, 5-spoke rims",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Softail Deluxe,2014,Custom / cruiser," 2.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1688.0 ccm (103.00 cubic inches),"V2, four-stroke",,133.8 Nm (13.6 kgf-m or 98.7 ft.lbs),9.6:1,98.4 x 111.1 mm (3.9 x 4.4 inches),,Injection. Electronic Sequential Port Fuel Injection ,,,,Air,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,,,,,,MT90-16 ,MU85-B16 ,Single disc. 4-piston,,Single disc. 2-piston,313.0 kg (690.0 pounds),,"622 mm (24.5 inches) If adjustable, lowest setting.",,2405 mm (94.7 inches),,122 mm (4.8 inches),1638 mm (64.5 inches),18.93 litres (5.00 US gallons),"Sand Pearl/Canyon Brown Pearl, Hard Candy Voodoo Purple Flake, Amber Whiskey/Brilliant Silver, Mysterious Red Sunglo/Blackened Cayenne Sunglo,Morocco Gold Pearl,Big Blue Pearl, Vivid Black
",Electric,"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/gear display, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light",,"Primary chain, 34/46 ratio",,Steel Laced,"Air-cooled, Twin Cam 103B™",5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Chrome, straight over/under shotgun exhaust with dual tapered mufflers",32.1°,147 mm (5.8 inches),330.2 kg (728.0 pounds),3.30 litres (3.49 US quarts),"High beam, neutral, low oil pressure, turn signals, engine diagnostics, security system (optional), 6-speed, low fuel warnings",,,,,,,,,,,,,,,,,,,,,,,,,,,
Romet ZK 125,2014,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.5 ccm (7.60 cubic inches),"Single cylinder, four-stroke",13.3 HP (9.7  kW)),,,,,Carburettor,,,,Air,5-speed,Chain   (final drive),,Steel,Telescopic fork,,Twin shocks,,,,Single disc,,Expanding brake (drum brake),,,,1070 mm (42.1 inches),1970 mm (77.6 inches),820 mm (32.3 inches),,,,"Silver, black",Electric & kick,,Sold in Poland.,,,5-spoke black,,,,,,,,,,90.0 km/h (55.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Atlas Honda CD Dream 70,2014,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,72.0 ccm (4.39 cubic inches),"Single cylinder, four-stroke",,,8.8:1,47.0 x 41.4 mm (1.9 x 1.6 inches),,Carburettor,Overhead Cams (OHC),,,Air,4-speed,Chain   (final drive),,Backbone,,,,,2.25-17 ,2.50-17 ,Expanding brake (drum brake),,Expanding brake (drum brake),82.0 kg (180.8 pounds),,,,1900 mm (74.8 inches),,,,9.00 litres (2.38 US gallons),"Red, black/green",Kick,,Sold in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJS NAC12 125 MK2,2014,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Twin, four-stroke",11.4 HP (8.3  kW)) @ 10500 RPM,,,44.0 x 40.0 mm (1.7 x 1.6 inches),,Carburettor,,Coil CDI,,Liquid,5-speed,Chain   (final drive),"Wet, multiplate",,Telescopic fork,,Twin reservoir shocks,,100/80-17 ,130/70-17 ,Double disc,,Single disc,153.0 kg (337.3 pounds),0.0744 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,,1510 mm (59.4 inches),18.00 litres (4.76 US gallons),"Red, white, black",Electric,,Sold in the UK.,,,,Balance shaft,,,,,,,,,,Euro 3,12 months,,,,,,,,,,,,,,,,,,,,,,,,
Can-Am Outlander L DPS 500,2014,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.6 ccm (30.49 cubic inches),"V2, four-stroke",,,,82.0 x 47.0 mm (3.2 x 1.9 inches),4,"Injection. 46 mm Throttle Body, 2 Siemens VDO injectors",Single Overhead Cams (SOHC),,,Liquid,,Shaft drive (cardan)   (final drive),,Surrounding Spar Technology (SST) G2,Double A-arm,229 mm (9.0 inches),Torsional Trailing arm Independent (TTI),,25/8-12 ,25/10-12 ,Double disc. Hydraulic. Two-piston calipers. ,214 mm (8.4 inches),Single disc. Hydraulic. Two-piston calipers. ,318.9 kg (703.0 pounds),,"859 mm (33.8 inches) If adjustable, lowest setting.",1245 mm (49.0 inches),2108 mm (83.0 inches),1168 mm (46.0 inches),267 mm (10.5 inches),1295 mm (51.0 inches),20.44 litres (5.40 US gallons),"Yellow, gray, camo",Electric,Multifunction digital gauge,Dynamic Power Steering (DPS),Selectable 2WD / 4WD,,Steel Black,Rotax engine,,,,,,,,70-W from dual 35-W front light / brake light,,,6 months limited warranty + 54 month B.E.S.T. extended warranty,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Platina 100,2014,Classic," 2.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",99.3 ccm (6.06 cubic inches),"Single cylinder, four-stroke",8.2 HP (6.0  kW)) @ 7500 RPM,8.1 Nm (0.8 kgf-m or 5.9 ft.lbs) @ 4500 RPM,,,,,,Digital CDI  and  TRICS III,,Air,4-speed,Chain   (final drive),,,"Hydraulic, Telescopic Type",125 mm (4.9 inches),"Hydraulic, Telescopic Type",125 mm (4.9 inches),2.75-17 ,3.00-17 ,Expanding brake (drum brake),110 mm (4.3 inches),Expanding brake (drum brake),,,,1090 mm (42.9 inches),1990 mm (78.3 inches),770 mm (30.3 inches),,1275 mm (50.2 inches),13.00 litres (3.43 US gallons),"Red, black, black/maroon",Electric,,Bike made in India.,Constant mesh,,,,1.35 litres/100 km (74.1 km/l or 174.24 mpg),31.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,113.0 kg (249.1 pounds),,,,,,2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,
Triumph Thunderbird,2014,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1597.0 ccm (97.45 cubic inches),"Twin, four-stroke",86.0 HP (62.8  kW)) @ 4850 RPM,146.0 Nm (14.9 kgf-m or 107.7 ft.lbs) @ 2750 RPM,9.7:1,103.8 x 103.8 mm (4.1 x 4.1 inches),,Injection. Multipoint sequential electronic fuel injection. progressive linkage on throttle,Double Overhead Cams/Twin Cam (DOHC),Digital-inductive type via engine management system,,Liquid,6-speed,Belt   (final drive),Wet. multi-plate,Tubular Steel. twin spine,Showa 47mm forks. 120mm travel,,Showa chromed spring twin shocks with 5 position adjustable preload. 95mm rear wheel travel,,120/70-R19 ,200/50-R17 ,Double disc. Nissin 4-piston fixed calipers. ABS.,310 mm (12.2 inches),Single disc. Brembo 2-piston floating caliper. ABS,,,"700 mm (27.6 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),2340 mm (92.1 inches),880 mm (34.6 inches),,1615 mm (63.6 inches),22.00 litres (5.81 US gallons),"Phantom Black, Lava Red/Silver Frost, Caspian Blue/Phantom Black
",,"Analogue speedometer featuring integrated rev counter, scroll button on handlebars, LCD trip computer, fuel gauge and clock",,Toothed Belt,,Cast aluminum alloy 5-spoke,270º firing interval,6.19 litres/100 km (16.2 km/l or 38.00 mpg),143.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Chromed twin-skin stainless steel 2 into 1 into 2. tandem large-volume catalysts in centralized catbox. chrome-plated exhaust,32.0°,151 mm (5.9 inches),339.0 kg (747.4 pounds),4.20 litres (4.44 US quarts),,,,24 months unlimited mileage,,,,,,,,,,,,,,,,,,,,,,,,
