Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Electrical,Comments,Lubrication system,Rake (fork angle),Wheels,"Weight incl. oil, gas, etc",Overall height,Carrying capacity,Engine details,Fuel consumption,Greenhouse gases,Alternate seat height,Oil capacity,Light,Exhaust system,Instruments,Factory warranty,Emission details,Seat,Oil filter,Brake fluid,Battery,Spark plugs,Belt teeth,Belt width,Pulley teeth,Fork tube size,Reserve fuel capacity,Max RPM,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Engine oil,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Modifications compared to previous model,Coolant
MV Agusta F4,2016,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",195.0 HP (142.3  kW)) @ 13400 RPM,110.8 Nm (11.3 kgf-m or 81.7 ft.lbs) @ 9600 RPM,291.2 km/h (180.9 mph),13.4:1,79.0 x 50.9 mm (3.1 x 2.0 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),"Integrated ignition - injection system MVICS (Motor  and  Vehicle Integrated Control System) with eight injectors Engine control unit Eldor EM2.0, throttle body full drive by wire Mikuni, pencil-coil with ion-sensing technology, control of detonation and ",Liquid,6-speed,Chain   (final drive),"Wet, multi-disc with back torque limiting device",6-speed constant mesh,CrMo Steel Tubular Trellis,100 mm (4.0 inches),Marzocchi “UPSIDE - DOWN” telescopic hydraulic fork with adjustable rebound-compression damping and external spring preload,120 mm (4.7 inches),Adjustable monoshock with high and low speed compression settings ,120 mm (4.7 inches),120/70-ZR17 ,200/55-ZR17 ,"Double disc. ABS. Brembo radial-type, single-piece with 4 pistons",210 mm (8.3 inches),Single disc. ABS ,291.0 kg (641.5 pounds),0.6701 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",2115 mm (83.3 inches),750 mm (29.5 inches),115 mm (4.5 inches),1430 mm (56.3 inches),17.00 litres (4.49 US gallons),"White/matte black, Red/silver/matte black",Electric,12 V - 8.6 Ah battery,Ride-By-Wire system. Traction control.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Stockman 250,2016,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",20.1 HP (14.7  kW)) @ 8000 RPM,20.6 Nm (2.1 kgf-m or 15.2 ft.lbs) @ 6000 RPM,,11.0:1,72.0 x 61.2 mm (2.8 x 2.4 inches),4,Carburettor. Mikuni BST34,Double Overhead Cams/Twin Cam (DOHC),Digital CDI,Air,6-speed,Chain   (final drive),"Wet multi-disc, manual",,"Semi-Double Cradle, High-Tensile ",107 mm (4.2 inches),36 mm Telescopic fork ,230 mm (9.1 inches),Uni-Trak. Compression damping. Fully adjustable.,186 mm (7.3 inches),3.00-21 ,4.60-18 ,Single disc,240 mm (9.4 inches),Single disc,,,"830 mm (32.7 inches) If adjustable, lowest setting.",2140 mm (84.3 inches),900 mm (35.4 inches),,1430 mm (56.3 inches),9.00 litres (2.38 US gallons),Green,Electric,,Sold in Australia as a farm bike.,"Forced lubrication, wet sump",28.0°,Wire spoked,121.0 kg (266.8 pounds),1130 mm (44.5 inches),Front and rear rack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJR1300AS,2016,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1298.0 ccm (79.20 cubic inches),"In-line four, four-stroke",146.2 HP (106.7  kW)) @ 8000 RPM,138.0 Nm (14.1 kgf-m or 101.8 ft.lbs) @ 7000 RPM,,10.8:1,79.0 x 66.2 mm (3.1 x 2.6 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Transistor Controlled Ignition,Liquid,6-speed,Shaft drive (cardan)   (final drive),,Constant mesh,"Aluminium, Diamond shaped",109 mm (4.3 inches),"Upside-down telescopic fork, Ø 48 mm tube, adjustable preload, compression and rebound damping",135 mm (5.3 inches),Linked monoshock with spring preload adjustment,125 mm (4.9 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. Hydraulic,282 mm (11.1 inches),Single disc. Hydraulic,,,"805 mm (31.7 inches) If adjustable, lowest setting.",2230 mm (87.8 inches),750 mm (29.5 inches),125 mm (4.9 inches),1544 mm (60.8 inches),25.00 litres (6.61 US gallons),"Matt Silver, Tech Graphite",Electric,,Electronically-adjustable suspension. Traction control and cruise control systems. Windshield.,Wet sump,26.0°,,296.0 kg (652.6 pounds),1455 mm (57.3 inches),Saddle bags,Forward-inclined cylinders,6.53 litres/100 km (15.3 km/l or 36.02 mpg),151.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,"825 mm (32.5 inches) If adjustable, highest setting.",4.90 litres (5.18 US quarts),LED lights with front adaptive cornering lights,,,,,,,,,,,,,,,,,,,,,,,,,,
KRC Fox,2016,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,15.0 HP (10.9  kW)),,100.0 km/h (62.1 mph),,,,,,,Air,,,,,Steel,,,,,,130/60-13 ,130/60-13 ,Single disc,,Single disc,,,"800 mm (31.5 inches) If adjustable, lowest setting.",2010 mm (79.1 inches),705 mm (27.8 inches),,1410 mm (55.5 inches),,"White/green, Grey/green, white/black, grey/black",Electric,,"Lithium Battery 72V, 50ah. Range 150 km. Charging 4-5 hours. KRC is short for Keep Roads Clean. Italian brand.",,,,154.0 kg (339.5 pounds),1180 mm (46.5 inches),,Bruchless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Night Rod Special,2016,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1247.0 ccm (76.09 cubic inches),"V2, four-stroke",120.7 HP (88.1  kW)) @ 8000 RPM,111.0 Nm (11.3 kgf-m or 81.9 ft.lbs) @ 7250 RPM,,11.5:1,105.0 x 72.0 mm (4.1 x 2.8 inches),,Injection. Electronic Sequential Port Fuel Injection,,,Liquid,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,"Gear, 117/64 ratio primary drive",,142 mm (5.6 inches),Inverted fork,,,,120/70-ZR19 ,240/40-R18 ,Double disc. ABS. 4-piston,,Single disc. ABS. 4-piston,289.0 kg (637.1 pounds),0.4176 HP/kg,"675 mm (26.6 inches) If adjustable, lowest setting.",2440 mm (96.1 inches),,115 mm (4.5 inches),1705 mm (67.1 inches),18.93 litres (5.00 US gallons),"Olive Gold, Velocity Red Sunglo, Charcoal Denim, Vivid Black",Electric,,,,34.0°,"Black, Split 5-Spoke Cast Aluminum w/ Machined Pinstripe Standard on Select Colors",302.1 kg (666.0 pounds),,,"Liquid-cooled, Revolution®, 60° V-Twin",6.36 litres/100 km (15.7 km/l or 36.98 mpg),147.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,4.70 litres (4.97 US quarts),"High beam, neutral, low oil pressure, turn signals, engine diagnostics, security system (optional), coolant temperature, low fuel warnings",Straight-shot exhaust with brushed finish dual mufflers; black end caps and exhaust shield,"Electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, tachometer",,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR-Z125,2016,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,,9.5:1,56.9 x 48.5 mm (2.2 x 1.9 inches),,Carburettor. Mikuni VM20SS,Overhead Cams (OHC),Digital CDI,Air,5-speed,Chain   (final drive),,"DID 428HG, 122 links",High rigidity steel pipe,,"Telescopic, coil spring, oil damped",,"Link type, coil spring, oil damped",,70/100-17 ,90/100-14 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,"776 mm (30.6 inches) If adjustable, lowest setting.",1836 mm (72.3 inches),770 mm (30.3 inches),260 mm (10.2 inches),1245 mm (49.0 inches),4.80 litres (1.27 US gallons),Champion Yellow/Solid Black,Kick,,,Wet sump,,Aluminium rims,88.0 kg (194.0 pounds),1085 mm (42.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha X-MAX 250,2016,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.8 ccm (15.24 cubic inches),"Single cylinder, four-stroke",20.1 HP (14.7  kW)) @ 7500 RPM,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 6000 RPM,,10.0:1,69.0 x 66.8 mm (2.7 x 2.6 inches),,Injection,Single Overhead Cams (SOHC),TCI,Liquid,Automatic,Belt   (final drive),,V-Belt Automatic,,,Telescopic fork,110 mm (4.3 inches),Unit swing,84 mm (3.3 inches),120/70-15 ,140/70-14 ,Single disc. Optional ABS,240 mm (9.4 inches),Single disc. Optional ABS,,,"785 mm (30.9 inches) If adjustable, lowest setting.",2160 mm (85.0 inches),790 mm (31.1 inches),125 mm (4.9 inches),1545 mm (60.8 inches),13.20 litres (3.49 US gallons),"Black, white, grey",Electric,,Windscreen. ABS bakes adds 4 kg.,Wet sump,,Cast aluminium wheels,178.0 kg (392.4 pounds),1337 mm (52.6 inches),"Underseat storage for two full face helmets, glove compartment.",,,,,1.30 litres (1.37 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan  S Special Edition,2016,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Twin, four-stroke",61.0 HP (44.5  kW)) @ 7500 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 6600 RPM,,10.8:1,83.0 x 60.0 mm (3.3 x 2.4 inches),4,Injection. 38 mm x 2 with sub-throttles,Double Overhead Cams/Twin Cam (DOHC),TCBI with digital advance,Liquid,6-speed,Chain   (final drive),"Wet multi-disc, manual",,"Perimeter, high-tensile steel",119 mm (4.7 inches),41mm telescopic fork ,130 mm (5.1 inches),Lay-down offset rear shock with linkage and adjustable preload,81 mm (3.2 inches),120/70-18 ,160/60-17 ,Double disc. Two-piston calipers. Optional ABS.,250 mm (9.8 inches),Single disc. Single-piston caliper.  Optional ABS.,,,"706 mm (27.8 inches) If adjustable, lowest setting.",2311 mm (91.0 inches),881 mm (34.7 inches),130 mm (5.1 inches),1575 mm (62.0 inches),14.00 litres (3.70 US gallons),Metallic Matte Carbon Gray/Metallic Matte Phantom Silver ,Electric,,Limited power version of 35 kW available. ABS adds 3 kg.,,31.0°,,225.0 kg (496.0 pounds),1100 mm (43.3 inches),,,,,,,,,,12 Month Limited Warranty,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR250R ABS,2016,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.6 ccm (15.23 cubic inches),"Single cylinder, four-stroke",34.9 HP (25.5  kW)),22.9 Nm (2.3 kgf-m or 16.9 ft.lbs),,10.7:1,76.0 x 55.0 mm (3.0 x 2.2 inches),4,"Injection. PGM-Fi, 38mm throttle body",Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital transistorized with electronic advance,Liquid,6-speed,Chain   (final drive),Wet multiplate with coil springs,,,99 mm (3.9 inches),37mm fork,118 mm (4.7 inches),Pro-Link single shock with five positions of spring preload adjustability,103 mm (4.1 inches),110/70-17 ,140/70-17 ,Single disc. ABS. ,220 mm (8.7 inches),Single disc. ABS. ,,,"775 mm (30.5 inches) If adjustable, lowest setting.",2035 mm (80.1 inches),720 mm (28.3 inches),,1369 mm (53.9 inches),13.00 litres (3.43 US gallons),"Black, Red, Pearl White/Blue/Red",Electric,,Model ID: CBR250RA,Forced pressure and wet sump,25.0°,5-spoke black,166.0 kg (366.0 pounds),,,,3.05 litres/100 km (32.8 km/l or 77.12 mpg),70.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Analog/Digital Instrumentation,,Meets current EPA standards. Models sold in California meet current CARB standards and may differ slightly due to emissions equipment.,,,,,,,,,,,,,,,,,,,,,,
Zero Engineering Type 8,2016,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1202.0 ccm (73.35 cubic inches),"V2, four-stroke",,,,,92.0 x 114.3 mm (3.6 x 4.5 inches),4,Carburettor. Injection variant sold  Japan.,Overhead Valves (OHV),Microtech ECU,Air,5-speed,,,,,,Springer fork,,Rigid,,4.50-18 ,4.50-18 ,Single disc. Hydraulic,,Single disc. Hydraulic,220.0 kg (485.0 pounds),,"680 mm (26.8 inches) If adjustable, lowest setting.",2280 mm (89.8 inches),760 mm (29.9 inches),100 mm (3.9 inches),1600 mm (63.0 inches),7.00 litres (1.85 US gallons),"Black, white, dark red, dark green",Electric,,Model ID: HR3. Sold with carburator in the EU and fuel injection in Japan. Zero Engineering is a Japanese brand.,,33.0°,Wire spoked,,1150 mm (45.3 inches),,Harley-Davidson engine,,,,,,,,,,Solo seat,,,,,,,,,,,,,,,,,,,,,
