Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Fuel system,Cooling system,Transmission type,Fuel consumption,Greenhouse gases,Emission details,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Wheelbase,Fuel capacity,Color options,Starter,Valves per cylinder,Fuel control,Ignition,Gearbox,Clutch,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Seat,"Weight incl. oil, gas, etc",Light,Carrying capacity,Factory warranty,Comments,Engine details,Exhaust system,Wheels,Alternate seat height,Driveline,Overall height,Overall width,Ground clearance,Electrical,Lubrication system,Instruments,Reserve fuel capacity,Oil capacity,Max RPM,Engine oil,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Modifications compared to previous model,Service interval,"60-140 km/h (37-87 mph), highest gear",Oil filter,Belt teeth,1/4 mile (0.4 km)
Peugeot Tweet 125 SBC,2021,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",10.1 HP (7.3  kW)) @ 8500 RPM,9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 7000 RPM,90.0 km/h (55.9 mph),10.2:1,52.4 x 57.8 mm (2.1 x 2.3 inches),Injection,Air,Belt   (final drive),2.80 litres/100 km (35.7 km/l or 84.01 mpg),65.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,110/70-16 ,110/70-16 ,Single disc,226 mm (8.9 inches),Single disc,109.0 kg (240.3 pounds),0.0923 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",2000 mm (78.7 inches),1330 mm (52.4 inches),5.70 litres (1.51 US gallons),"Jet Black, Antarctica White",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Gold Wing Tour Airbag DCT,2021,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1833.0 ccm (111.85 cubic inches),"Six cylinder boxer, four-stroke",118.0 HP (86.1  kW)) @ 5500 RPM,167.0 Nm (17.0 kgf-m or 123.2 ft.lbs) @ 4000 RPM,,10.5:1,73.0 x 73.0 mm (2.9 x 2.9 inches),Injection. Programmed Fuel Injection,Liquid,Shaft drive (cardan)   (final drive),5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,Meets current California Air Resources Board (CARB) and EPA standards.,130/70-18 ,200/55-16 ,Double disc. Floating discs.  CBS three-piston calipers,316 mm (12.4 inches),Single disc. CBS three-piston calipers.,,,"744 mm (29.3 inches) If adjustable, lowest setting.",,1694 mm (66.7 inches),21.01 litres (5.55 US gallons),Candy Ardent Red,Electric,4,Single Overhead Cams (SOHC),Computer-controlled digital with three-dimensional mapping,Automatic,"Seven-speed automatic DCT, plus reverse and walking mode",Aluminium   ,30.5°,109 mm (4.3 inches),Double Wishbone Type; 4.3 inches travel,109 mm (4.3 inches),Pro Arm® single-side swingarm with Pro-Link® single shock; 4.1 inches travel,104 mm (4.1 inches),Urethane. Waterproof cover.,384.2 kg (847.0 pounds),LED lights,Trunk and saddlebags with 121 liters of storage,"3 years transferable, unlimited-mileage limited warranty",Windscreen. Passenger armrest. Deluxe seat. Cruise control. Model ID: GL1800DA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Multistrada V4,2021,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1158.0 ccm (70.66 cubic inches),"V4, four-stroke",179.0 HP (130.7  kW)) @ 10500 RPM,125.0 Nm (12.7 kgf-m or 92.2 ft.lbs) @ 8750 RPM,,14.0:1,83.0 x 53.5 mm (3.3 x 2.1 inches),Injection. 46mm eliptical throttle bodies with Ride-by -Wire system,Liquid,Chain   (final drive),5.20 litres/100 km (19.2 km/l or 45.23 mpg),120.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,120/70-19 ,170/60-17 ,"Double disc. Brembo M50 Stylema monoblock 4-piston 2 pad calipers, ABS",265 mm (10.4 inches),Single disc. ABS. Brembo Two-piston calipers. ,,,"840 mm (33.1 inches) If adjustable, lowest setting.",,1567 mm (61.7 inches),22.00 litres (5.81 US gallons),Ducati Red,Electric,4,Desmodromic valve control,,6-speed,"Multiplate wet hydraulic control, self-servo action on drive, slipper action on over-run",Aluminum Monocoque ,24.5°,103 mm (4.0 inches),"50mm fully adjustable usd forks, electronic compression and rebound damping adjustment with Ducati Skyhook",170 mm (6.7 inches),"Fully adjustable monoshock , electronic adjustment with Ducati Skyhook, aluminum double-sided Swingarm",180 mm (7.1 inches),Dual seat,242.0 kg (533.5 pounds),,,2 years unlimited mileage,,V4 Granturismo,"Stainless steel muffler with catalytic converter and 4 lambda probes, alluminium tail probes",5-spoke light alloy. Pirelli Scorpion Trail II tires.,"860 mm (33.9 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Splendor iSmart BS6,2021,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,113.2 ccm (6.91 cubic inches),"Single cylinder, four-stroke",,9.9 Nm (1.0 kgf-m or 7.3 ft.lbs) @ 5500 RPM,,10.0:1,50.0 x 57.8 mm (2.0 x 2.3 inches),Injection,Air,Chain   (final drive),,,,80/100-18 ,80/100-18 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),,,"799 mm (31.5 inches) If adjustable, lowest setting.",2048 mm (80.6 inches),1270 mm (50.0 inches),9.50 litres (2.51 US gallons),"Blue, red,  Grey",Electric & kick,,Overhead Cams (OHC),Digital CDI,4-speed,"Wet, multiplate",Tubular Diamond,,,Telescopic hydraulic shock absorbers,,5-step Adjustable Hydraulic Shock Absorbers,,,117.0 kg (257.9 pounds),12V 35W/35W halogen headlight,,,,,,,,Constant mesh,1110 mm (43.7 inches),726 mm (28.6 inches),180 mm (7.1 inches),12V 3Ah battery,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Tricity 300,2021,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",292.0 ccm (17.82 cubic inches),"Single cylinder, four-stroke",27.6 HP (20.2  kW)) @ 7250 RPM,29.0 Nm (3.0 kgf-m or 21.4 ft.lbs) @ 5750 RPM,,10.9:1,70.0 x 75.9 mm (2.8 x 3.0 inches),Injection,Liquid,Belt   (final drive),3.30 litres/100 km (30.3 km/l or 71.28 mpg),76.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,90/80-14 ,140/70-14 ,Single disc. Unified Brake System. ABS.,267 mm (10.5 inches),Single disc. Unified Brake System. ABS.,,,"795 mm (31.3 inches) If adjustable, lowest setting.",2250 mm (88.6 inches),1595 mm (62.8 inches),13.00 litres (3.43 US gallons),"Nimbus Gray, Tech Kamo, Gunmetal Grey",Electric,4,Single Overhead Cams (SOHC),TCI,Automatic,,"Underbone, steel",,,Double telescopic fork,100 mm (3.9 inches),Unit Swing,84 mm (3.3 inches),,239.0 kg (526.9 pounds),LED front lights,,,Traction control. Small windscreen. Leaning twin-wheel front.,,,,,V-Belt Automatic,1470 mm (57.9 inches),815 mm (32.1 inches),130 mm (5.1 inches),,Wet sump,LCD instruments,,,,,,,,,,,,,,,,,,,,,,
Bullit V-Bob 250,2021,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Twin, four-stroke",18.1 HP (13.2  kW)),,,,,,Air,,,,Euro 4,120/80-16 ,140/70-16 ,Single disc. ABS,240 mm (9.4 inches),Single disc. ABS,,,,2230 mm (87.8 inches),1520 mm (59.8 inches),20.00 litres (5.28 US gallons),"Matte black, Matte Grey, Candy Red",Electric,,,ECU – Delphi ,,,,,,USD fork,,Double rear suspension spiral oil damping,,,179.0 kg (394.6 pounds),,,2 Years,,,,,,,1090 mm (42.9 inches),920 mm (36.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R1000R Barry Sheene 1976,2021,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.8 ccm (61.01 cubic inches),"In-line four, four-stroke",196.0 HP (143.1  kW)) @ 11500 RPM,118.0 Nm (12.0 kgf-m or 87.0 ft.lbs) @ 10000 RPM,,13.2:1,76.0 x 55.0 mm (3.0 x 2.2 inches),Injection. Ride-by-Wire throttle bodies,Liquid,Chain   (final drive),,,,120/70-ZR17 ,190/50-ZR17 ,Double disc. Brembo 4-piston. ABS.,220 mm (8.7 inches),Single disc. Nissin-1 piston. ABS.,,,"825 mm (32.5 inches) If adjustable, lowest setting.",2075 mm (81.7 inches),1485 mm (58.5 inches),16.00 litres (4.23 US gallons),"White, red, yellow, black ",Electric,4,Double Overhead Cams/Twin Cam (DOHC),,6-speed,"Wet, multi-plate ",Twin-spar made of five cast sections,,,"Inverted telescopic, coil spring, oil damped ",120 mm (4.7 inches),"Link type, single shock, coil spring, oil damped ",130 mm (5.1 inches),Passenger seat can exchanged with a color-matched solo tail cowl.,202.0 kg (445.3 pounds),LED headlight,,12 month unlimited mileage limited warranty.,"Legend Edition bike, sold in Europe.",Titanium valves,Akrapovich exhaust,,,"Chain, DID 525HV3, 120 links",1145 mm (45.1 inches),705 mm (27.8 inches),130 mm (5.1 inches),,Wet sump with oil cooler,"LCD multifunction instrument panel, black background.",,,,,,,,,,,,,,,,,,,,,,
Honda Monkey,2021,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.9 ccm (7.62 cubic inches),"Single cylinder, four-stroke",,,,9.3:1,52.4 x 57.9 mm (2.1 x 2.3 inches),Injection. PGM-FI with automatic enrichment,Air,Chain   (final drive),,,,120/80-12 ,130/80-12 ,Single disc. Hydraulic. Optional ABS.,190 mm (7.5 inches),Single disc. Hydraulic. Optional ABS.,,,"777 mm (30.6 inches) If adjustable, lowest setting.",,1156 mm (45.5 inches),5.68 litres (1.50 US gallons),"Pearl Glittering Blue, Pearl Nebula Red.",Kick,2,Single Overhead Cams (SOHC),Fully transistorized,4-speed,"Wet, multiplate",,25.0°,81 mm (3.2 inches),31mm inverted fork,99 mm (3.9 inches),Twin shocks  ,104 mm (4.1 inches),,105.0 kg (231.5 pounds),,,One Year Unlimited-mileage,Model id: MONKEY125.,,,,,,,,,,,,1.89 litres (0.50 US gallons),,,,,,,,,,,,,,,,,,,,,
Husqvarna FS 450,2021,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,449.9 ccm (27.45 cubic inches),"Single cylinder, four-stroke",63.0 HP (46.0  kW)),,,,95.0 x 63.4 mm (3.7 x 2.5 inches),Carburettor,Liquid,Chain   (final drive),,,,90/90-17 ,140/90-17 ,Single disc. Brembo four-piston radial fixed calliper,220 mm (8.7 inches),Single disc. Brembo single-piston floating calliper,102.8 kg (226.6 pounds),0.6128 HP/kg,"890 mm (35.0 inches) If adjustable, lowest setting.",2260 mm (89.0 inches),1475 mm (58.1 inches),7.00 litres (1.85 US gallons),Blue/white/yellow,Electric,,Single Overhead Cams (SOHC),Keihin EMS,5-speed,"Suter slipper clutch, Magura Hydraulics",Central double-cradle-type 25CrMo4 steel,26.1°,,"WP XACT-USD, Ø 48 mm",285 mm (11.2 inches),WP XACT Monoshock with linkage,266 mm (10.5 inches),,,,,,,,,,,5/8 x 1/4 in. chain,,,290 mm (11.4 inches),Lightweight Li-Ion 2.0 Ah battery,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR650S,2021,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",,,,9.5:1,100.0 x 82.0 mm (3.9 x 3.2 inches),Carburettor. Mikuni BST40,Oil & air,Chain   (final drive),,,,90/90-21 ,120/90-17 ,"Single disc. Floating rotor, two-piston caliper",240 mm (9.4 inches),Single disc. Two-piston caliper,,,"845 mm (33.3 inches) If adjustable, lowest setting.",2255 mm (88.8 inches),1490 mm (58.7 inches),13.00 litres (3.43 US gallons),Solid Special White/blue,Electric,4,Single Overhead Cams (SOHC),Digitally-mapped DC-CDI ignition,5-speed,"Wet multiplate, rack-and-pinion activated.",Semi-double cradle,,,"Telescopic, coil spring, oil damped",260 mm (10.2 inches),"Link type, coil spring, oil damped",260 mm (10.2 inches),,166.0 kg (366.0 pounds),60/55-watt halogen headlight,,12 month unlimited mileage limited warranty.,,,,"Aluminum rims, stainless steel spokes","885 mm (34.8 inches) If adjustable, highest setting.","O-ring chain, DID525V9, 110 links",1195 mm (47.0 inches),865 mm (34.1 inches),265 mm (10.4 inches),,Wet sump,,,,,,,,,,,,,,,,,,,,,,,
